Source,Target
450465,155
450465,272
450465,1927
450465,1924
450465,141052
424694,397538
424694,369192
424694,10139
424694,152532
424694,1420
401469,402900
401469,16995
401469,75656
401469,339403
401469,446354
483906,155
483906,272
483906,263115
483906,1927
483906,9531
504172,4836
504172,709
504172,769
504172,6977
332562,25196
332562,525
332562,254470
332562,458737
332562,339403
433249,76341
433249,119450
433249,101299
433249,157336
433249,336843
369972,3558
369972,10734
369972,222935
369972,171274
369972,210577
505954,424
505954,423
505954,14574
505954,228150
505954,637
337167,281957
337167,867
337167,11027
337167,392044
337167,341174
401847,769
401847,467952
401847,424694
401847,152532
401847,424
375262,449176
375262,424694
375262,370663
375262,376867
375262,467952
490132,449176
490132,26280
490132,184352
490132,376867
490132,338189
405774,198663
405774,131631
405774,294254
405774,428078
405774,185
429197,424
429197,75
429197,640
429197,769
429197,508
399360,281957
399360,290512
399360,309050
399360,44363
399360,372343
487558,424
487558,769
487558,467952
446021,77
446021,13
446021,1368
446021,1369
446021,2604
426426,112160
426426,171274
426426,13
426426,1949
426426,8204
500852,238
500852,64912
500852,52979
500852,169917
500852,24
263115,155
263115,1924
263115,272
263115,49521
263115,141052
484247,336843
484247,101299
484247,346364
484247,84892
484247,454983
169917,4771
169917,769
169917,398181
169917,8012
169917,281957
489999,300668
489999,338970
489999,284276
489999,590
489999,277685
520360,500
520360,1844
520360,949
520360,298
520360,75656
155,272
155,49026
155,209112
155,40662
155,382322
157336,568
157336,126889
157336,75612
157336,76341
157336,348
451915,487558
451915,424
451915,769
451915,467952
400535,4771
400535,1266
400535,1701
400535,562
400535,261023
315635,1924
315635,1452
315635,8536
315635,9531
315635,13640
210577,346364
210577,75780
210577,336843
210577,392044
8966,466282
8966,50619
8966,24021
8966,12689
8966,123553
470044,281957
470044,392044
470044,133805
470044,101299
470044,671
475132,324786
475132,424694
475132,425336
475132,625
475132,424
417261,194662
417261,489999
417261,503616
417261,307081
417261,425972
447332,110415
447332,381283
447332,405774
447332,19908
447332,311291
407436,34584
407436,581
407436,10140
407436,84892
49026,272
49026,209112
49026,382322
49026,414
316029,424694
316029,424
316029,640
316029,769
316029,274479
150540,812
150540,260513
150540,12092
150540,11360
150540,4977
399055,150689
399055,9738
399055,381284
399055,440298
399055,9454
205596,467952
205596,449176
205596,184352
205596,424
205596,423
272,98566
272,40662
272,209112
272,1930
272,557
458594,74997
458594,357096
458594,10781
458594,956
458594,281957
466411,8966
466411,84892
466411,222935
466411,470044
466411,445651
241554,10651
241554,281957
241554,345887
241554,445954
241554,979
286217,568
286217,157336
286217,101299
286217,336843
286217,369972
361292,259693
361292,561
361292,1487
361292,208763
361292,622
49017,36647
49017,228150
49017,400155
49017,7131
49017,12437
455207,84892
455207,222935
455207,82695
455207,466282
455207,581
65754,210577
65754,1949
65754,281957
65754,395834
65754,392044
374720,369885
374720,676
374720,1654
11321,415086
11321,393961
11321,76127
11321,476889
11321,72120
537996,872
537996,995
537996,14128
537996,9394
537996,11697
398818,449176
398818,26371
398818,376867
398818,424694
375785,449176
375785,84892
375785,398818
375785,100898
375785,426613
281957,395834
281957,994
281957,3134
281957,336843
281957,398181
16869,857
16869,424
16869,369885
16869,637
16869,228150
1949,16995
1949,12150
1949,984
1949,10651
1949,4638
350,65754
350,600
350,84892
350,50619
350,8966
244786,769
244786,74997
244786,281957
244786,398181
244786,23483
440472,10098
440472,404245
11324,336843
11324,392044
11324,181283
11324,75780
11324,101299
216015,466282
216015,8966
216015,9813
216015,12689
216015,43923
381284,487558
381284,369972
381284,568
381284,424
381284,453
307081,396371
307081,312221
307081,70
307081,5925
307081,60308
194662,98566
194662,155
194662,14
194662,272
194662,49026
419743,449176
419743,184352
419743,26280
419743,126331
419743,377154
566512,452507
566512,101299
566512,201085
566512,336843
566512,521
242582,9654
242582,218
242582,64690
242582,449443
242582,396371
150689,10882
150689,809
150689,2312
150689,5393
150689,11224
334543,424
334543,451915
334543,467952
334543,487558
334543,769
340613,843
340613,11004
340613,340666
340613,346685
340613,8999
62764,58595
62764,408
62764,60304
62764,290595
62764,32593
401545,1417
401545,364689
401545,2501
401545,521
401545,1124
433498,424
433498,334543
433498,451915
433498,467952
433498,487558
49047,157336
49047,2067
49047,62
49047,395992
49047,286217
458737,359940
458737,9552
458737,458594
458737,324786
392044,4176
392044,75780
392044,281957
392044,2275
395990,4771
395990,64689
395990,1572
395990,395841
395990,562
61791,119450
61791,76341
61791,63
61791,198663
61791,131631
438145,281957
438145,11121
438145,345887
438145,68718
438145,33
18239,24021
18239,50619
18239,36648
18239,49017
18239,50620
254128,479475
254128,11123
254128,8656
254128,80278
254128,475210
228150,369885
228150,424
228150,1771
228150,857
228150,374720
329865,126889
329865,828
329865,157336
329865,384521
329865,348
11130,4974
11130,400617
11130,521
11130,3933
11130,82695
454227,424
454227,316029
454227,324786
454227,334543
454227,363676
398173,10781
398173,1696
398173,12521
398173,5486
398173,984
381283,1586
381283,110415
381283,426814
381283,475210
381283,500919
372058,8392
372058,505262
372058,81
372058,9323
372058,51739
68718,272
68718,862
68718,33
68718,600
391713,84892
391713,398818
391713,376867
391713,9813
391713,426613
147441,9837
147441,487558
147441,381284
147441,414425
147441,615
359940,600
359940,281957
359940,345887
359940,395834
359940,398181
264660,438590
264660,198184
264660,62
264660,9738
264660,2048
106646,627
106646,400535
106646,463684
106646,13161
106646,1359
324786,616
324786,374720
324786,746
324786,227306
324786,205596
313369,525
313369,10947
313369,2976
313369,342473
313369,10545
168259,345887
168259,281957
168259,3134
168259,10483
168259,395834
457136,401847
457136,424
457136,640
457136,769
457136,334543
273248,120
273248,253412
273248,44115
273248,9350
273248,978
440161,682
440161,3090
440161,84892
440161,222935
440161,429
440298,24420
440298,13
440298,235
440298,1628
440298,272693
455980,460019
455980,4922
455980,254470
455980,353486
455980,363676
484436,445571
484436,9598
484436,311291
484436,10345
484436,450322
281338,101299
281338,131631
281338,262500
281338,336843
281338,262504
425972,76341
425972,405774
425972,297762
425972,9813
425972,8810
472451,449176
472451,26280
472451,376867
472451,26933
472451,377154
120467,539
120467,340613
120467,311
120467,97630
120467,843
312221,319888
312221,60308
312221,9443
312221,10158
389015,396371
389015,443009
389015,424
389015,13374
389015,640
468362,691
468362,12289
468362,564
468362,85
468362,612
315837,201088
315837,9323
315837,603
315837,605
315837,782
395834,345887
395834,8090
395834,261023
395834,11423
438808,261023
438808,504172
438808,429203
438808,754
438808,7347
273481,345887
273481,979
273481,4771
273481,2142
273481,27576
341174,84892
341174,22705
341174,74997
341174,101299
341174,336843
335797,9836
335797,260514
335797,9598
335797,258509
335797,9447
487670,141052
487670,1924
487670,49521
487670,1452
487670,8536
500919,15069
500919,984
500919,807
500919,445954
500919,357096
449176,26371
449176,26280
449176,152584
1422,37645
1422,4771
