,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Natural Gas,Other Renewable,Nuclear
0,2001-01-01,696.365166667,6016.5095,,36.2124166667,10445.4260833,801.056833333,349.113628333,2529.75525
1,2001-02-01,714.768583333,5933.41908333,,32.3678333333,10436.564,861.81925,348.528245833,2530.53383333
2,2001-03-01,703.40975,5868.221,,31.85575,10446.7254167,936.17375,349.420881667,2542.97991667
3,2001-04-01,659.72425,5797.686,,30.9831666667,10452.1376667,992.918083333,345.6621575,2610.78475
4,2001-05-01,657.038666667,5818.90741667,,25.4536666667,10572.76975,1033.58591667,342.121183333,2681.56575
5,2001-06-01,684.888666667,5776.07266667,,26.6734166667,10605.7319167,1066.22433333,341.6451275,2696.22966667
6,2001-07-01,652.317916667,5794.46016667,,26.4415833333,10665.0804167,1134.50133333,338.933745,2702.891
7,2001-08-01,640.102416667,5810.885,,26.3215833333,10747.09925,1215.48858333,337.75669,2698.93933333
8,2001-09-01,615.578083333,5791.22925,,25.8981666667,10780.852,1297.70325,334.89933,2695.34908333
9,2001-10-01,609.100416667,5826.85533333,,25.7966666667,10826.9369167,1354.43058333,334.402224167,2655.83941667
10,2001-11-01,617.087166667,5872.72225,,26.2436666667,10828.7595833,1351.83458333,325.905543333,2614.91766667
11,2001-12-01,679.524833333,5931.07541667,,26.3200833333,10950.6406667,1331.93625,318.146855833,2643.58608333
12,2002-01-01,735.398916667,6003.47216667,,26.0041666667,11076.7229167,1325.33875,312.157916667,2654.74383333
13,2002-02-01,737.15975,6081.1555,,25.6294166667,11141.6073333,1327.878,306.1385,2643.23833333
14,2002-03-01,770.778333333,6177.27958333,,24.3585833333,11195.7001667,1290.14566667,301.309,2611.0565
15,2002-04-01,822.23525,6263.673,,23.6385833333,11253.47575,1248.80683333,301.248583333,2572.31316667
16,2002-05-01,838.897416667,6279.65125,,23.6935833333,11263.91625,1235.77575,301.32275,2562.62191667
17,2002-06-01,919.485,6340.03533333,,24.6916666667,11366.7910833,1201.46983333,298.824166667,2559.83483333
18,2002-07-01,990.9085,6366.39858333,,27.6483333333,11397.38725,1159.30591667,296.43875,2535.74608333
19,2002-08-01,1069.31191667,6364.76175,,27.4771666667,11437.9229167,1131.812,293.766166667,2532.05983333
20,2002-09-01,1115.03,6401.91925,,28.0520833333,11534.4028333,1146.27725,292.35025,2535.1565
