,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable,Nuclear
0,2001-01-01,23.8644166667,311.315166667,,431.077833333,2540.88708333,,340.685666667,75.743705,1285.64725
1,2001-02-01,23.3715833333,311.488416667,,377.6135,2532.65025,,378.411916667,75.0669758333,1294.92525
2,2001-03-01,22.186,307.536416667,,352.92675,2561.39766667,,406.13625,73.6154941667,1328.21908333
3,2001-04-01,21.403,298.418416667,,310.829,2549.29016667,,431.45,71.6846291667,1345.47216667
4,2001-05-01,19.2013333333,296.461833333,,296.831416667,2548.513,,470.241916667,69.5629891667,1328.06633333
5,2001-06-01,20.9575,289.83475,,274.457416667,2590.8785,,527.439,69.4927291667,1340.95891667
6,2001-07-01,20.7065,287.303333333,,244.825333333,2597.34283333,,568.041333333,69.38889,1339.29025
7,2001-08-01,20.5739166667,287.757,,241.73475,2655.43275,,627.411333333,69.447305,1340.91816667
8,2001-09-01,20.5056666667,276.431666667,,217.648166667,2655.32558333,,671.628083333,69.3568933333,1332.2115
9,2001-10-01,20.3935,262.807916667,,224.992333333,2614.7275,,695.0085,69.0869108333,1275.10675
10,2001-11-01,20.9485833333,261.108583333,,226.595666667,2605.3245,,705.372083333,68.8714425,1255.1455
11,2001-12-01,24.3708333333,262.887333333,,223.176083333,2638.447,,730.309916667,68.6536683333,1261.90491667
12,2002-01-01,27.924,268.933583333,,194.823833333,2609.26825,,739.039,68.4455608333,1243.18933333
13,2002-02-01,29.1764166667,273.91125,,203.178083333,2601.7855,,719.935166667,68.0527241667,1240.70141667
14,2002-03-01,30.1556666667,279.92525,,216.855416667,2629.94275,,698.791583333,68.1516516667,1269.434
15,2002-04-01,32.9841666667,284.857583333,,211.75375,2637.33425,,685.480166667,67.7214483333,1289.23875
16,2002-05-01,34.6349166667,291.44275,,205.53725,2652.83066667,,673.543333333,67.7150216667,1314.12016667
17,2002-06-01,34.1475,301.608833333,,196.75275,2616.64991667,,635.4505,67.3736183333,1315.168
18,2002-07-01,35.7786666667,308.281833333,,198.263,2590.16025,,599.9055,66.9135266667,1314.99091667
19,2002-08-01,36.739,307.278,,194.734083333,2538.41541667,,550.733833333,66.672815,1316.03883333
20,2002-09-01,38.79475,320.95225,,185.876916667,2516.68891667,,506.801583333,66.1205508333,1332.13708333
21,2002-10-01,41.5183333333,339.127583333,,168.797833333,2541.10983333,,469.668416667,66.1470091667,1389.833
22,2002-11-01,44.4053333333,360.065583333,,154.19625,2508.5455,,444.566916667,66.1040325,1373.24208333
23,2002-12-01,45.4159166667,351.3195,,156.13325,2444.40525,,438.882416667,65.8713641667,1320.72058333
24,2003-01-01,47.03475,350.024666667,,171.889166667,2462.08733333,,421.801166667,65.4883466667,1339.84125
25,2003-02-01,64.4214058333,351.012994167,,196.280324167,2511.07083167,,423.5489,64.9506158333,1345.43441667
26,2003-03-01,62.7635025,350.30439,,171.301536667,2509.33067917,,444.905149167,64.6842933333,1349.76958333
27,2003-04-01,59.8015933333,354.738771667,,159.117348333,2525.1392725,,449.238685833,64.3682,1372.2375
28,2003-05-01,56.3805366667,351.52304,,161.866005833,2470.55763583,,464.218886667,64.4232258333,1306.52533333
29,2003-06-01,55.5264625,352.506804167,,164.595944167,2482.88453833,,500.016261667,64.3676741667,1280.59391667
30,2003-07-01,52.0197116667,350.536030833,,165.8248525,2521.9273,,539.469566667,64.406075,1284.4945
31,2003-08-01,53.3477466667,353.761903333,,158.783865,2555.160855,,576.013103333,63.8808858333,1284.81283333
32,2003-09-01,56.70632,354.126461667,,153.677814167,2590.32284083,,612.0309475,63.8288616667,1285.55016667
33,2003-10-01,53.4792875,349.591946667,,156.505210833,2617.25517833,,642.924394167,63.6625666667,1286.65491667
34,2003-11-01,49.4385141667,337.792274167,,156.346956667,2655.44515417,,658.3286175,63.7741183333,1325.11075
35,2003-12-01,44.5731283333,352.297925833,,147.968218333,2710.51004,,661.403516667,63.6012416667,1376.15608333
36,2004-01-01,38.5510208333,354.589325,,145.009344167,2719.4506425,,675.650520833,63.1515658333,1378.25808333
37,2004-02-01,21.3874091667,354.777610833,,132.624905,2702.10891833,,687.349083333,63.26281,1378.52691667
38,2004-03-01,23.8142683333,353.82872,,133.511584167,2712.09731917,,700.305769167,62.5545516667,1374.71041667
39,2004-04-01,25.5854458333,349.063345,,146.2021925,2745.56986,,712.471800833,61.9771875,1387.675
40,2004-05-01,28.146085,348.5496625,,155.681869167,2772.27716667,,732.787830833,61.751055,1383.13483333
41,2004-06-01,28.8462558333,350.826276667,,152.949455,2776.047255,,744.508213333,61.8916691667,1374.772
42,2004-07-01,31.0472475,348.789025833,,165.460681667,2789.77741083,,745.659566667,61.9853975,1374.62316667
43,2004-08-01,31.3603008333,348.501108333,,181.9296275,2815.86928833,,754.061318333,62.41004,1375.12275
44,2004-09-01,28.3499916667,348.87787,,200.573440833,2834.06510917,,755.917015833,62.4695408333,1375.41958333
45,2004-10-01,30.8424791667,345.217551667,,218.668525,2824.64207667,,734.0939275,62.3627108333,1371.27533333
46,2004-11-01,33.3152658333,337.829225833,,252.651558333,2791.72944083,,738.734973333,62.252575,1305.05225
47,2004-12-01,36.2545533333,331.6695725,,254.967790833,2795.55477417,,741.615201667,62.3913458333,1307.00666667
48,2005-01-01,39.8499158333,333.040971667,,262.9868525,2795.81223333,,738.657680833,62.77789,1296.8435
49,2005-02-01,39.938655,330.594325,,222.234954167,2767.39178833,,752.939975833,62.9171566667,1296.94225
50,2005-03-01,40.4006641667,329.776243333,,221.230961667,2764.38528417,,754.848741667,63.8428275,1291.70825
51,2005-04-01,40.1087591667,335.254865833,,204.8418025,2774.2726925,,774.32462,64.3707991667,1292.17233333
52,2005-05-01,40.127425,332.075993333,,190.807330833,2812.21244333,,774.046833333,64.3161891667,1347.621
53,2005-06-01,41.4096875,331.6203275,,192.893383333,2841.72468417,,766.5755675,64.2146433333,1382.50808333
54,2005-07-01,42.2568475,336.15281,,178.437636667,2850.518925,,784.529156667,64.2353741667,1382.43416667
55,2005-08-01,43.1087233333,335.583801667,,168.905009167,2857.85565667,,801.786558333,64.0525758333,1382.09175
56,2005-09-01,44.4677816667,336.63584,,150.787325,2844.60509083,,803.986303333,64.1762391667,1382.12508333
57,2005-10-01,44.8418425,346.498141667,,135.249011667,2861.4948375,,822.210465,64.1451341667,1386.11291667
58,2005-11-01,45.0104758333,352.637214167,,114.4427475,2886.1323975,,841.529255,64.0017966667,1406.07941667
59,2005-12-01,45.3184966667,356.8739025,,123.888594167,2880.2546225,,855.786446667,64.0312766667,1372.40316667
60,2006-01-01,45.3243333333,356.792983333,,106.5694775,2890.14468083,,873.706773333,63.610025,1382.45383333
61,2006-02-01,44.1480633333,358.396910833,,118.272720833,2895.18154417,,874.426976667,64.1763891667,1373.62941667
62,2006-03-01,42.5066883333,359.603120833,,131.118528333,2907.46352083,,870.342335,63.74294,1378.3705
63,2006-04-01,41.6330675,355.264758333,,142.731823333,2898.40200833,,855.874634167,63.7462925,1377.69791667
64,2006-05-01,41.5323158333,357.006864167,,145.328029167,2859.42769417,,854.3585775,63.35665,1336.81858333
65,2006-06-01,40.9330341667,353.682173333,,146.993658333,2814.94531417,,858.3235325,63.2394733333,1290.34466667
66,2006-07-01,38.9197175,352.260844167,,145.45809,2787.0872325,,836.740805,62.9551783333,1289.6025
67,2006-08-01,36.2302808333,353.311998333,,134.0096125,2762.02341167,,826.447118333,62.3214233333,1289.29983333
68,2006-09-01,33.3874825,350.634775833,,126.935365833,2759.217135,,837.409858333,61.9234241667,1288.86083333
69,2006-10-01,31.9262916667,347.379910833,,124.4931025,2757.995985,,844.181301667,61.8189583333,1288.24516667
70,2006-11-01,31.236815,338.199581667,,115.068110833,2776.758045,,838.421685833,61.2632483333,1333.08491667
71,2006-12-01,30.9871208333,320.72877,,102.471451667,2771.4275575,,830.541633333,60.8365191667,1366.51216667
72,2007-01-01,30.2717325,311.560211667,,109.271583333,2764.26743583,,827.4632775,60.8199283333,1365.51183333
73,2007-02-01,30.8946675,310.613655833,,97.235625,2762.28056083,,831.328295,60.0023916667,1373.31283333
74,2007-03-01,32.5056033333,311.124355833,,83.4553075,2744.709995,,822.3571675,59.8155566667,1376.86966667
75,2007-04-01,34.3065266667,313.015904167,,75.3070441667,2709.79190667,,792.440844167,59.6041366667,1376.30958333
76,2007-05-01,36.0387441667,311.4957375,,73.27238,2700.52074,,773.29689,60.0258166667,1387.42633333
77,2007-06-01,36.0556325,310.272140833,,70.848985,2688.2494775,,758.880081667,59.9667016667,1393.51433333
78,2007-07-01,37.4616333333,310.9903775,,70.3451716667,2674.2115125,,747.817805,60.1546133333,1388.47475
79,2007-08-01,39.3437408333,311.98914,,68.5423858333,2670.01628583,,744.5624425,60.59239,1385.52016667
80,2007-09-01,42.4451058333,314.09611,,61.3804658333,2634.47859,,712.083159167,60.4754125,1384.77625
81,2007-10-01,43.7722208333,319.679870833,,56.3830141667,2610.37258083,,687.337038333,60.2598233333,1384.26308333
82,2007-11-01,44.4844933333,342.110013333,,50.0371216667,2586.09369333,,691.886061667,60.7901091667,1337.887
83,2007-12-01,45.1208416667,360.005509167,,49.7358033333,2539.78629417,,683.608464167,60.9298083333,1280.80091667
84,2008-01-01,46.3481066667,365.5506475,,42.8208691667,2534.12272083,,672.487683333,61.1261791667,1286.07883333
85,2008-02-01,46.38868,361.4748125,,53.9166916667,2540.4919875,,665.915809167,61.5176183333,1291.21608333
86,2008-03-01,45.7129291667,356.3048025,,50.5769266667,2546.65237083,,679.6346625,62.0418375,1291.95425
87,2008-04-01,45.5816116667,340.202936667,,44.0460675,2566.04934167,,717.835338333,61.9846633333,1296.69516667
88,2008-05-01,44.8719891667,327.456151667,,41.8049891667,2604.56852833,,723.279625833,62.0520333333,1346.27675
89,2008-06-01,45.0724091667,311.1152825,,38.9928308333,2626.04047833,,718.505945833,62.4055041667,1390.83558333
90,2008-07-01,44.4564,290.1609725,,32.9202533333,2610.19237,,721.007283333,62.231805,1400.74258333
91,2008-08-01,44.9506841667,270.263566667,,29.457975,2559.55523833,,724.24679,62.3145925,1369.37358333
92,2008-09-01,43.9689633333,255.050934167,,33.1097458333,2587.23179167,,758.250765,62.733525,1374.6035
93,2008-10-01,43.2079325,232.7460975,,32.5333133333,2586.79766,,775.366543333,63.0985283333,1379.75275
94,2008-11-01,43.0796366667,220.796945833,,31.7217133333,2585.17302833,,779.056175,63.0020108333,1387.53758333
95,2008-12-01,42.6152716667,204.378108333,,31.2140383333,2611.9684125,,793.423401667,63.1976883333,1417.49625
96,2009-01-01,42.4621325,204.458123333,,24.9064775,2600.51850417,,817.445924167,63.2275166667,1388.11516667
97,2009-02-01,41.7200116667,206.4945175,,11.7476016667,2597.896015,,841.24844,62.8333333333,1374.33408333
98,2009-03-01,41.20426,199.449195833,,12.3871958333,2587.01231167,,841.394011667,62.5617758333,1370.29766667
99,2009-04-01,40.6047966667,194.047448333,,12.4727875,2562.16873667,,822.1905875,62.859725,1370.27108333
100,2009-05-01,40.0335525,195.71634,,12.2201366667,2508.63560167,,816.903723333,62.9263583333,1320.278
101,2009-06-01,38.8337891667,197.774125,,15.6064808333,2476.24422583,,831.616105,62.8103516667,1268.7105
102,2009-07-01,37.8714308333,209.560066667,,18.0056566667,2525.58544917,,866.746665833,62.8979716667,1269.1595
103,2009-08-01,35.3977716667,224.215534167,,26.5366483333,2613.05404,,894.568536667,62.5698991667,1308.709
104,2009-09-01,33.4096075,233.559468333,,28.4959716667,2616.831415,,897.271115833,62.5255583333,1300.309
105,2009-10-01,32.8763183333,237.671061667,,33.5004675,2652.57955667,,924.4399975,62.1761875,1300.69083333
106,2009-11-01,33.6431808333,228.391905,,33.3680933333,2692.59916583,,929.269840833,61.9084825,1344.96316667
107,2009-12-01,33.5858066667,224.090183333,,33.5072583333,2756.44083833,,972.737295,61.6391016667,1369.47516667
108,2010-01-01,32.5556083333,217.033240833,,34.0776275,2779.13527583,,976.306015833,61.6383416667,1395.85866667
109,2010-02-01,33.4537466667,203.175293333,,37.7751125,2795.18443167,,988.0653225,60.9508891667,1410.03841667
110,2010-03-01,34.0656075,189.518790833,,37.73432,2813.72565833,,1018.53304417,59.363205,1414.1055
111,2010-04-01,34.9746275,180.618969167,,37.1213825,2833.09791917,,1046.67555583,58.3350175,1415.07225
112,2010-05-01,36.3637016667,168.5068225,,36.6291933333,2856.12166333,,1080.36577833,57.7445216667,1415.811
113,2010-06-01,39.6423766667,155.11905,,33.36186,2914.82976917,,1107.42325917,57.1452916667,1461.97116667
114,2010-07-01,41.1302358333,137.559888333,,32.3082716667,2899.32926667,,1116.48633,56.6064633333,1455.28058333
