,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Petroleum Coke,Other Renewable,Nuclear
0,2001-01-01,12.00225,6629.21966667,,124.26925,14937.4401667,,383.857666667,1.23108333333,56.5474566667,7696.53975
1,2001-02-01,11.8381666667,6574.93933333,,125.889916667,14814.4991667,,396.617166667,1.12225,56.0771816667,7615.72933333
2,2001-03-01,11.6489166667,6581.78133333,,120.003333333,14792.7520833,,406.288333333,1.02691666667,55.7739075,7583.98475
3,2001-04-01,11.5903333333,6628.87875,,106.37,14799.32325,,436.971333333,0.9225,56.377685,7526.21641667
4,2001-05-01,11.2870833333,6677.92025,,86.808,14838.89825,,488.298583333,0.829916666667,57.142845,7484.47841667
5,2001-06-01,11.2030833333,6709.05025,,85.6835,14830.9331667,,491.911166667,0.72975,57.6321058333,7442.8155
6,2001-07-01,11.22775,6771.65766667,,67.08925,14935.5985,,549.327916667,0.6235,58.2238608333,7445.67958333
7,2001-08-01,11.1980833333,6837.48916667,,41.3424166667,15106.8118333,,679.018333333,0.50875,59.2691033333,7446.64033333
8,2001-09-01,11.2198333333,6884.23491667,,24.5440833333,15240.3246667,,732.009,0.39425,60.5496208333,7496.33491667
9,2001-10-01,11.16125,6991.66283333,,18.1186666667,15420.399,,776.620916667,0.295583333333,61.6599583333,7530.08166667
10,2001-11-01,11.0085833333,7111.31191667,,18.9164166667,15535.9185,,773.093583333,0.19925,61.2055366667,7529.72491667
11,2001-12-01,10.8180833333,7174.7415,,18.8178333333,15594.8044167,,764.081333333,0.10175,60.7190916667,7535.67666667
12,2002-01-01,10.7351666667,7223.77883333,,18.557,15671.2045,,756.561416667,0.0,60.292515,7571.67566667
13,2002-02-01,10.8593333333,7351.93608333,,33.7934166667,15893.54725,,759.446,0.0,62.3748616667,7644.28033333
14,2002-03-01,11.0169166667,7430.80025,,54.9514166667,16023.0309167,,755.696333333,0.0,64.3943983333,7675.57408333
15,2002-04-01,10.9743333333,7410.48841667,,68.0663333333,16080.2191667,,731.304333333,0.0,65.0258008333,7764.02225
16,2002-05-01,10.952,7389.2195,,73.2479166667,16099.77325,,680.230833333,0.0,65.3892433333,7851.05466667
17,2002-06-01,10.8871666667,7335.26191667,,73.3218333333,16085.6979167,,662.046833333,0.0,65.7828666667,7908.60291667
18,2002-07-01,10.81525,7292.76991667,,76.32925,15964.6591667,,598.65225,0.0,65.34153,7891.33225
19,2002-08-01,10.8370833333,7285.58783333,,78.9628333333,15840.37,,446.957583333,0.0,64.4233283333,7924.0145
20,2002-09-01,10.94,7300.45475,,92.3726666667,15844.9894167,,394.247,0.0,63.9884466667,7953.16825
21,2002-10-01,11.1399166667,7261.76183333,,90.6183333333,15777.28675,,340.536083333,0.0,64.0948858333,7979.5705
22,2002-11-01,11.3445,7214.49658333,,90.0996666667,15730.5955833,,329.174166667,0.0,65.36723,7990.31925
23,2002-12-01,11.4678333333,7264.48058333,,90.2495833333,15730.8995,,327.122333333,0.0,66.8919291667,7940.58775
24,2003-01-01,11.5416666667,7331.77908333,,93.40975,15754.605,1.502,325.20525,0.0,68.2458658333,7894.41966667
25,2003-02-01,11.2932808333,7357.2347025,,89.86116,15729.6856217,1.39816666667,316.604450833,0.0,66.8369408333,7858.23241667
26,2003-03-01,11.1843141667,7423.1890525,,80.5029058333,15736.3508967,1.5615,305.747934167,0.0,66.3625791667,7819.83825
27,2003-04-01,11.3240383333,7478.35733083,,76.6154291667,15696.3692183,2.09375,298.730675833,0.0,66.4436441667,7734.70991667
28,2003-05-01,11.5342225,7495.2339525,,75.7429875,15708.8278892,2.79808333333,289.162019167,0.0,67.0513066667,7739.45983333
29,2003-06-01,12.0194083333,7618.82577667,,75.486705,15837.225905,3.45233333333,314.726880833,0.0,67.46029,7718.30358333
30,2003-07-01,12.5674275,7674.73211667,,76.0810883333,15934.9327467,3.71241666667,333.174535833,0.0,67.9311666667,7739.797
31,2003-08-01,13.0352333333,7685.559185,,70.797635,15927.1991992,3.8545,334.429521667,0.740296666667,68.0164983333,7724.143
32,2003-09-01,13.2500966667,7641.29513583,,57.695455,15788.45395,4.02858333333,288.826809167,1.59160166667,67.47515,7688.30691667
33,2003-10-01,13.03661,7688.53308833,,57.5771016667,15833.0445125,4.29858333333,296.5335375,2.465645,67.1928941667,7677.26941667
34,2003-11-01,12.7254733333,7747.6363125,,58.0088391667,15883.1602633,4.92366666667,291.297285,3.68823416667,67.6330325,7671.16825
35,2003-12-01,12.8386908333,7795.5025075,,58.0309625,15918.14317,5.565,285.576160833,6.02352083333,67.9065491667,7661.13175
36,2004-01-01,12.7940825,7866.8023025,,54.88598,15996.4815417,6.50608333333,282.775958333,8.64238833333,68.4999275,7670.61025
37,2004-02-01,13.2066091667,7845.4745675,,41.9293783333,16035.381985,7.01133333333,298.031319167,10.7010375,68.0812925,7726.36125
38,2004-03-01,13.5173175,7763.0694875,,30.4584683333,15939.7149867,7.32133333333,296.42205,12.5562166667,67.1233033333,7725.26158333
39,2004-04-01,13.6199183333,7773.17565333,,21.3784258333,15891.5550025,7.47583333333,318.56876,14.493275,66.3452416667,7653.70075
40,2004-05-01,13.5407441667,7783.47912667,,17.4885483333,15882.1747642,7.52758333333,345.19239,15.4363641667,65.5557708333,7612.02291667
41,2004-06-01,13.1104541667,7703.36709,,17.8933866667,15790.0366267,7.49866666667,326.643001667,15.98025,65.0003316667,7619.31275
42,2004-07-01,12.525585,7735.91213,,15.4965083333,15875.0855717,7.55175,382.7209125,16.0969641667,64.4507908333,7620.2505
43,2004-08-01,11.94103,7730.30354083,,17.19845,15947.15649,7.52516666667,445.31617,15.4735983333,63.9416208333,7636.39725
44,2004-09-01,11.4587516667,7761.20739417,,17.9301525,16069.0201983,7.39216666667,516.178196667,14.7325175,63.3235708333,7658.69433333
45,2004-10-01,11.5138925,7770.16338,,18.3657733333,16091.560435,7.40541666667,555.161580833,13.9723191667,62.6240408333,7635.35025
46,2004-11-01,11.4594083333,7753.52339667,,18.1429766667,16128.5590967,7.20708333333,573.684520833,12.8796808333,61.80793,7674.3195
47,2004-12-01,11.0546425,7690.1956325,,18.3986808333,16117.8185317,7.41991666667,583.393716667,10.6506916667,61.5376341667,7720.981
48,2005-01-01,10.753085,7688.76580917,,18.8854891667,16176.67882,11.7621666667,592.85421,8.38032666667,65.2401,7771.91675
49,2005-02-01,10.8243241667,7651.55395583,,18.0368216667,16093.08658,12.8455708333,568.537438333,6.67209416667,66.4551266667,7752.76216667
50,2005-03-01,10.8332566667,7689.63750333,,17.8327658333,16118.4813433,13.7643358333,564.513059167,5.83099833333,67.6783158333,7744.09441667
51,2005-04-01,10.7671541667,7700.94651833,,17.2483141667,16189.0872942,14.8977741667,542.980265833,3.89394,69.00176,7826.292
52,2005-05-01,11.03192,7653.38976083,,16.0198216667,16146.2709483,16.4810208333,539.643838333,2.95085083333,69.5558283333,7835.89658333
53,2005-06-01,11.57011,7668.82225833,,15.40897,16179.33815,17.4767575,554.553110833,2.406965,69.8436441667,7839.47108333
54,2005-07-01,12.0504516667,7609.59173083,,13.9777691667,16084.4323658,18.2205858333,498.729486667,2.29025083333,70.0596183333,7860.64983333
55,2005-08-01,12.5266208333,7621.6793725,,13.3595541667,16103.3493717,19.0120216667,501.365558333,2.17332,70.3349341667,7865.1455
56,2005-09-01,13.0553558333,7643.2509375,,11.7932066667,16108.4552008,19.6839883333,487.51063,2.06309583333,70.5399375,7863.85933333
57,2005-10-01,13.2516858333,7596.883365,,11.4439966667,16030.1399433,20.4908825,444.008056667,1.94925083333,70.8956108333,7875.93108333
58,2005-11-01,13.6644975,7659.49593667,,11.100355,16055.8839392,22.2490766667,442.343600833,1.8193,72.4132658333,7839.06508333
59,2005-12-01,14.0981241667,7710.48516417,,10.5030308333,16120.3339867,23.6381633333,447.414889167,1.7130025,73.4741458333,7847.19958333
60,2006-01-01,14.4393325,7637.39696083,,9.94779083333,16035.5798367,21.2142516667,439.916485,1.3645,70.7360291667,7846.17833333
61,2006-02-01,14.2435225,7727.67545917,,9.78773333333,16179.6126142,21.9108858333,455.06776,1.01408333333,70.756635,7884.8135
62,2006-03-01,13.9046933333,7769.84872667,,10.3885991667,16338.3962367,22.1666858333,491.928870833,0.0,70.5881266667,7965.86525
63,2006-04-01,13.9370008333,7819.69004083,,10.9160975,16436.6726325,22.5897025,508.329931667,0.0,70.2815641667,7997.98525
64,2006-05-01,14.1155016667,7882.69209083,,11.1763308333,16508.5657442,24.4035133333,509.8198125,0.0,72.9916016667,8002.7425
65,2006-06-01,13.8149616667,7870.91907417,,11.3468575,16500.8557925,28.04092,520.257098333,0.0,77.4872966667,7991.95233333
66,2006-07-01,13.6122041667,7917.75489583,,11.3057858333,16549.0172283,30.1964291667,534.323328333,0.0,80.2094916667,7977.42541667
67,2006-08-01,13.335935,7909.29085167,,10.2144958333,16500.5062692,31.3334391667,488.150069167,0.0,81.8759025,7983.74566667
68,2006-09-01,13.3422233333,7913.74663917,,9.57824416667,16565.2054767,32.6353325,546.477228333,0.0,83.8057141667,7984.332
69,2006-10-01,13.4328866667,7955.12854583,,9.7741175,16684.269625,36.9449466667,584.08908,0.0,88.5995908333,8019.27125
70,2006-11-01,13.2654891667,7959.64417667,,10.2495533333,16674.6514133,43.4487275,612.86968,0.0,96.2479425,7968.88208333
71,2006-12-01,12.8956291667,7917.87833583,,10.888615,16656.9694458,49.0413141667,615.463005,0.0,101.383278333,7984.89158333
72,2007-01-01,12.810615,7938.7428175,,10.9722441667,16688.3901,55.3689175,628.46058,0.0,107.062686667,7977.40375
73,2007-02-01,12.7958591667,7909.79415,,11.6778766667,16600.666315,73.0740458333,635.995740833,0.0,125.641400833,7892.96358333
74,2007-03-01,13.0748275,7932.9168,,11.4848008333,16567.5030508,87.0860141667,613.396378333,0.0,140.628416667,7845.02725
75,2007-04-01,13.0271466667,7934.71115667,,11.6260641667,16543.7602083,101.4272875,600.767660833,0.0,154.104269167,7819.46575
76,2007-05-01,12.7167633333,7976.750515,,11.7467025,16595.7400625,115.9580625,581.7928825,0.0,169.642389167,7833.38283333
77,2007-06-01,12.6498108333,7973.01512917,,12.0732308333,16585.360515,127.938314167,545.467866667,0.0,182.058088333,7850.66308333
78,2007-07-01,12.5854466667,7992.43267167,,12.1189583333,16617.18711,137.914374167,531.689471667,0.0,192.479971667,7866.00675
79,2007-08-01,12.282565,8019.52757333,,11.9808125,16656.1125558,142.541309167,538.127858333,0.0,197.3154225,7866.80858333
80,2007-09-01,11.7336191667,8032.0571875,,12.3318808333,16569.2222992,146.168313333,425.9277575,0.0,201.245796667,7875.98766667
81,2007-10-01,11.7445216667,8007.6386375,,12.363405,16513.0902433,148.389425833,397.307650833,0.0,204.2398925,7870.30875
82,2007-11-01,11.6642891667,7994.898415,,12.053795,16541.4303975,158.6466825,359.162915,0.0,214.209503333,7940.50266667
83,2007-12-01,11.5615191667,8048.43892333,,11.9118383333,16616.0062633,175.530685833,350.258925833,0.0,232.15851,7953.10216667
84,2008-01-01,11.5457508333,8053.66985917,,11.8940058333,16622.931465,194.7496425,354.989126667,0.0,252.9147325,7929.30783333
85,2008-02-01,11.3042358333,8019.55652667,,11.6207375,16659.5128892,195.713385,367.041484167,0.0,255.076879167,7985.68116667
86,2008-03-01,11.1704691667,7908.42246833,,10.7198341667,16594.1170675,205.073895,367.082645833,0.0,264.3273375,8022.37233333
87,2008-04-01,11.18077,7774.11018167,,10.8591758333,16547.4089125,210.353933333,379.915479167,0.0,271.013750833,8090.00466667
88,2008-05-01,11.2870391667,7767.8034275,,10.7787616667,16557.4671075,217.050555,396.411518333,0.0,276.337314167,8084.67341667
89,2008-06-01,11.3540158333,7785.0358725,,10.3543658333,16563.3289467,216.701715833,411.832130833,0.0,275.598499167,8059.05683333
90,2008-07-01,11.345005,7707.68090333,,10.5677725,16492.1974325,215.688154167,422.510233333,0.0,273.577313333,8055.97641667
91,2008-08-01,11.4774383333,7638.73739417,,10.667735,16372.4097342,216.975418333,380.098441667,0.0,274.755740833,8045.44616667
92,2008-09-01,11.5295158333,7556.325345,,10.5616566667,16289.6529392,223.424839167,391.9102125,0.0,280.739069167,8027.13541667
93,2008-10-01,11.1458183333,7520.565455,,10.1310808333,16230.5474242,224.094695833,401.731659167,0.0,280.133895,7994.63775
94,2008-11-01,11.2269083333,7493.5245875,,10.1375425,16152.13068,226.6356175,399.660841667,0.0,283.223955,7942.14558333
95,2008-12-01,11.45707,7454.94652083,,9.7356325,16094.2143092,229.2465125,394.72447,0.0,287.326063333,7923.45125
96,2009-01-01,11.3650008333,7497.23834167,0.00133333333333,9.37757333333,16155.3631058,234.961015,374.559969167,0.0,294.146031667,7956.16
97,2009-02-01,11.08995,7545.528705,0.011055,9.02335583333,16176.7911308,243.732061667,356.5280975,0.0,302.020668333,7940.23683333
98,2009-03-01,10.5639566667,7644.1819525,0.0444866666667,9.46078583333,16225.84106,238.776528333,348.493571667,0.0,297.003394167,7903.83
99,2009-04-01,10.06268,7758.9048725,0.121773333333,9.17980833333,16298.3798542,250.298581667,330.757874167,0.0,309.2805025,7867.71358333
100,2009-05-01,9.64216083333,7689.56438,0.234290833333,9.02049083333,16236.9429267,266.7100725,313.238183333,0.0,326.365111667,7875.62933333
