,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable,Nuclear
0,2001-01-01,58.5420833333,920.944416667,,709.2975,3206.53591667,0.0,974.75025,109.398905,428.669416667
1,2001-02-01,53.9696666667,908.405333333,,639.114833333,3173.16191667,0.0,1028.79825,109.136660833,429.223333333
2,2001-03-01,52.8278333333,903.234,,611.989166667,3162.71425,0.0,1052.75308333,108.273229167,429.50425
3,2001-04-01,52.41725,886.176583333,,587.909166667,3152.45091667,0.0,1081.83725,109.002085,429.677666667
4,2001-05-01,51.6224166667,882.77775,,590.938083333,3191.838,0.0,1107.98608333,108.429025,443.533416667
5,2001-06-01,55.1514166667,885.320916667,,575.6205,3253.75766667,0.0,1151.48208333,108.530784167,472.152583333
6,2001-07-01,55.9220833333,884.089083333,,548.70425,3245.57375,0.0,1170.88541667,107.9501175,472.607416667
7,2001-08-01,57.1274166667,889.50525,,545.128416667,3289.5445,0.0,1214.42241667,107.826886667,470.514083333
8,2001-09-01,59.785,886.921416667,,518.404416667,3298.58808333,0.0,1247.02533333,107.526348333,477.34
9,2001-10-01,62.9376666667,915.39275,,526.261833333,3357.87958333,0.0,1267.92666667,108.196880833,476.165333333
10,2001-11-01,66.5759166667,920.436416667,,554.6745,3413.34,0.0,1288.76066667,107.698125,476.073166667
11,2001-12-01,69.9288333333,941.183666667,,551.342166667,3434.67291667,0.0,1294.54125,106.695778333,475.751666667
12,2002-01-01,72.9231666667,958.571583333,,566.6915,3502.31866667,0.0,1322.41466667,106.012005,480.7305
13,2002-02-01,75.8240833333,967.838583333,,613.404916667,3549.43016667,0.0387,1310.44941667,105.2968425,480.678916667
14,2002-03-01,77.1245833333,974.211666667,,643.25225,3602.34758333,0.0652741666667,1337.53433333,104.846623333,469.282666667
15,2002-04-01,77.46225,981.5915,,651.1335,3612.68191667,0.0940983333333,1334.89225,104.202935,466.943916667
16,2002-05-01,79.668,985.048083333,,653.300833333,3674.68616667,0.11858,1404.80908333,104.787756667,450.403
17,2002-06-01,80.2698333333,1003.21175,,638.016333333,3673.30775,0.1400775,1422.15883333,104.469335833,424.431916667
18,2002-07-01,80.0575,977.936583333,,655.163916667,3724.09258333,0.156793333333,1482.16141667,104.368765833,422.284833333
19,2002-08-01,80.3924166667,973.3575,,653.884,3812.8215,0.1725025,1572.07608333,103.644404167,425.7905
20,2002-09-01,82.60475,981.117916667,,655.16775,3897.25441667,0.1894325,1639.38608333,103.286758333,426.208833333
21,2002-10-01,83.37925,977.579916667,,630.348583333,3928.90675,0.2115775,1696.13575,102.500264167,425.75425
22,2002-11-01,84.92775,963.64875,,611.030083333,3978.66416667,0.243953333333,1785.87033333,102.419389167,412.494583333
23,2002-12-01,87.1518333333,946.023166667,,618.096833333,4035.78858333,0.27593,1844.04666667,103.513905833,413.385583333
24,2003-01-01,89.5985,908.04075,,621.586416667,4032.08533333,,1868.66091667,104.427054167,414.829583333
25,2003-02-01,90.0824116667,892.751911667,,659.062231667,4081.83128167,,1895.81415333,104.157581667,416.146666667
