,DateTime,Coal,Utility Solar,Petroleum Liquids,All,Natural Gas,Other Renewable,Nuclear
0,2001-01-01,1599.672,,428.64075,4453.87066667,1479.2125,119.343044167,826.990166667
1,2001-02-01,1527.00816667,,374.072916667,4421.59358333,1574.8685,118.797371667,826.660916667
2,2001-03-01,1493.66525,,317.663833333,4438.148,1678.15808333,119.64544,828.605583333
3,2001-04-01,1400.55666667,,279.192416667,4395.21491667,1766.88058333,119.846106667,828.138916667
4,2001-05-01,1350.69316667,,239.816,4386.35508333,1804.26316667,118.7545925,871.950583333
5,2001-06-01,1357.43775,,177.2525,4350.88708333,1813.21933333,117.34775,884.586333333
6,2001-07-01,1336.2965,,126.690666667,4320.40975,1869.10283333,111.589166667,875.178916667
7,2001-08-01,1332.66708333,,69.435,4245.61716667,1859.50433333,106.107583333,875.850166667
8,2001-09-01,1317.27091667,,20.97875,4151.67325,1807.64033333,102.143666667,901.19075
9,2001-10-01,1310.52558333,,2.19925,4029.29166667,1762.66841667,97.3236666667,853.785166667
10,2001-11-01,1258.45675,,2.46141666667,3835.44158333,1644.27466667,90.63675,836.622333333
11,2001-12-01,1244.7495,,2.62875,3732.89308333,1561.58916667,84.1635833333,836.612333333
12,2002-01-01,1237.76208333,,2.52508333333,3574.2385,1414.28308333,78.0494166667,838.28825
13,2002-02-01,1281.49416667,,3.029,3584.702,1384.24016667,76.70985,835.858833333
14,2002-03-01,1318.91466667,,6.55233333333,3555.04916667,1317.30333333,74.4309325,834.531583333
15,2002-04-01,1360.20708333,,20.00025,3540.17466667,1245.71825,74.6656466667,836.2625
16,2002-05-01,1380.84708333,,19.9995,3500.35466667,1200.14566667,74.2895141667,821.834583333
17,2002-06-01,1402.13866667,,20.5683333333,3501.25383333,1176.82941667,75.00136,823.410166667
18,2002-07-01,1412.03066667,,35.6480833333,3443.35158333,1081.59583333,76.29507,834.754166667
19,2002-08-01,1428.09716667,,57.2325,3361.781,960.214416667,77.35421,836.094833333
20,2002-09-01,1449.83783333,,81.546,3345.87508333,893.440583333,77.12147,841.249083333
21,2002-10-01,1444.42333333,,92.073,3341.05891667,833.841,78.4524333333,889.700416667
22,2002-11-01,1462.0055,,107.5685,3358.3015,797.915416667,80.370025,907.85325
23,2002-12-01,1433.14866667,,120.6765,3349.10633333,801.06925,82.9613783333,908.621083333
24,2003-01-01,1423.55025,,135.987916667,3345.68983333,789.769583333,85.1813325,908.538
25,2003-02-01,1458.27390083,,145.463863333,3361.11482583,752.993940833,89.7012825,911.941083333
26,2003-03-01,1494.43699667,,171.662265833,3434.32460833,778.2757825,92.185105,894.90925
27,2003-04-01,1492.27831583,,187.441979167,3405.42542,797.983293333,92.6808475,832.099083333
28,2003-05-01,1482.43861333,,201.055688333,3429.9572225,796.1615225,98.4572183333,848.821083333
29,2003-06-01,1477.6784625,,211.217980833,3473.24622083,831.101073333,100.703715833,849.473166667
30,2003-07-01,1467.91777583,,229.902068333,3528.61757167,873.890656667,103.61759,850.122
31,2003-08-01,1472.26047417,,236.9456225,3596.14909083,925.319200833,108.328363333,850.089583333
32,2003-09-01,1467.13570167,,227.496923333,3595.726695,935.5150125,112.191310833,850.159
33,2003-10-01,1474.07307083,,242.270345,3625.82498667,938.7292575,116.073153333,851.38075
34,2003-11-01,1440.49368917,,244.19184,3643.17343333,983.7251,119.9577775,851.453666667
35,2003-12-01,1437.21091417,,232.671105833,3619.73969167,971.0296325,123.234029167,852.168583333
36,2004-01-01,1456.47402083,,231.4047675,3638.55109833,968.213886667,126.2038225,852.7305
37,2004-02-01,1457.97840583,,221.998876667,3642.57964,979.848505833,126.1648375,853.213166667
38,2004-03-01,1459.04557833,,192.129419167,3604.321165,959.6386075,125.8354125,864.422416667
39,2004-04-01,1468.4082725,,169.238103333,3684.71416833,989.412845,126.921375,927.5655
40,2004-05-01,1487.8237875,,155.263924167,3679.02931833,978.916675,126.4509025,927.4695
41,2004-06-01,1476.97551917,,145.815790833,3645.8362875,964.1131875,128.287435,927.591083333
