,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable,Nuclear
0,2001-01-01,216.308833333,6079.81391667,,54.6453333333,9791.32091667,,127.862916667,145.940809167,3147.91875
1,2001-02-01,226.266416667,6028.36491667,,52.7188333333,9767.04366667,,134.047666667,147.086196667,3159.01008333
2,2001-03-01,234.035166667,6018.64441667,,54.1325,9777.86033333,,150.19575,149.299370833,3152.52925
3,2001-04-01,230.479916667,6010.76591667,,53.6069166667,9759.58766667,,165.17025,150.8169725,3131.88325
4,2001-05-01,229.826583333,5994.30391667,,49.277,9779.33566667,,175.965,151.506875,3162.33441667
5,2001-06-01,232.123666667,5965.18566667,,49.4293333333,9766.31283333,,185.295666667,152.250671667,3166.28558333
6,2001-07-01,231.87525,5981.1285,,49.831,9804.98366667,,201.09575,153.91251,3172.481
7,2001-08-01,235.39525,6045.32216667,,50.2005833333,9908.12016667,,232.463666667,152.48445,3177.61591667
8,2001-09-01,227.969833333,6000.333,,48.8378333333,9866.86883333,,247.608916667,151.065455,3175.90858333
9,2001-10-01,227.6635,6079.44558333,,48.52975,9939.919,,272.320166667,150.903713333,3146.00458333
10,2001-11-01,235.70825,6146.21,,49.0111666667,10060.4375,,284.530333333,148.933853333,3178.59133333
11,2001-12-01,258.777666667,6212.99566667,,48.86125,10212.0780833,,284.343833333,149.495039167,3238.93566667
12,2002-01-01,291.004,6265.645,,49.3355,10372.3355833,,296.73925,148.854418333,3302.23741667
13,2002-02-01,311.55,6369.86608333,,57.2631666667,10516.3729167,,304.000416667,147.174645,3308.16116667
14,2002-03-01,327.751666667,6474.49125,,63.9775,10655.7045833,,290.540583333,149.556795833,3330.40283333
15,2002-04-01,371.4785,6478.71233333,,62.5423333333,10778.9315,,276.576416667,151.293525,3416.84675
16,2002-05-01,403.132583333,6428.84316667,,61.9105833333,10751.3563333,,266.567833333,151.733330833,3417.81275
17,2002-06-01,450.352,6440.29433333,,62.64875,10772.15475,,258.10075,153.299279167,3384.57483333
18,2002-07-01,492.775833333,6394.75125,,66.4060833333,10745.1168333,,228.535666667,153.583021667,3384.27666667
19,2002-08-01,533.744,6309.48991667,,66.9780833333,10689.5683333,,204.36975,156.848415,3391.7385
20,2002-09-01,569.13425,6331.31916667,,66.0875833333,10730.1944167,,182.532416667,158.602626667,3395.59641667
21,2002-10-01,589.63675,6293.87166667,,65.9070833333,10688.167,,158.607916667,160.085960833,3392.88408333
22,2002-11-01,599.56925,6191.99316667,,65.20075,10596.7109167,,140.913916667,162.49685,3408.75466667
23,2002-12-01,599.0065,6169.24625,,65.5445,10569.7526667,,141.419916667,163.173675833,3403.07175
24,2003-01-01,600.078583333,6231.35266667,,65.3078333333,10631.8599167,,131.69725,164.642950833,3408.90833333
25,2003-02-01,599.078443333,6230.06965333,,58.7020991667,10634.8161358,,134.169749167,165.216465833,3418.17358333
26,2003-03-01,602.151245,6270.9959275,,51.0501808333,10681.2165183,,140.104091667,161.381485833,3426.32833333
27,2003-04-01,565.334233333,6306.296875,,49.6438408333,10604.2807992,,138.095811667,158.364110833,3357.2945
28,2003-05-01,536.493148333,6378.3329575,,49.09595,10625.8504925,,135.532703333,156.6530425,3341.36541667
29,2003-06-01,492.5992925,6482.35768083,,51.3453616667,10742.66913,,174.7294375,157.874346667,3356.62183333
30,2003-07-01,452.260363333,6497.7782175,,47.1899658333,10743.624135,,198.909663333,157.994035833,3363.08266667
31,2003-08-01,416.304431667,6547.50875,,45.918145,10757.3562967,,200.3894275,156.379976667,3365.54533333
32,2003-09-01,394.210679167,6485.383485,,46.2996433333,10664.76429,,196.403395,154.258739167,3363.24791667
33,2003-10-01,414.249104167,6379.2848675,,47.817885,10652.9534142,,202.974119167,150.835470833,3430.47033333
34,2003-11-01,425.96075,6411.03397917,,47.9341558333,10652.6626192,,204.743681667,149.11743,3386.48425
35,2003-12-01,439.893786667,6379.51043917,,48.6388683333,10587.2666275,,205.193985833,146.895593333,3339.32633333
36,2004-01-01,452.933278333,6295.50960167,,50.9091216667,10527.496395,,213.221189167,144.400150833,3340.88525
37,2004-02-01,460.956761667,6231.30157667,,48.8757058333,10475.8128633,,214.71725,144.8056625,3344.24916667
38,2004-03-01,452.495888333,6155.08468,,47.7212216667,10378.568055,,211.5735425,144.437615,3335.6995
39,2004-04-01,471.338845833,6139.079905,,48.0551525,10398.7062567,,229.586705833,144.845845833,3333.49658333
40,2004-05-01,489.925264167,6137.77914667,,48.1922525,10378.2280592,,242.228941667,144.670110833,3281.58033333
41,2004-06-01,499.261726667,6054.72501417,,44.1954075,10282.14428,,204.10017,140.90018,3305.03858333
42,2004-07-01,521.663503333,6092.61880833,,42.415295,10340.63827,,197.9072675,141.70282,3310.04775
43,2004-08-01,543.5668875,6121.4324675,,42.7230441667,10411.1423708,,220.220274167,142.958186667,3302.80541667
44,2004-09-01,548.457434167,6231.82618833,,43.8002975,10546.1047675,,245.716583333,144.355214167,3293.18041667
45,2004-10-01,518.194024167,6397.67201667,,43.8563825,10667.4011375,,258.1671,147.579935833,3263.24908333
46,2004-11-01,500.46402,6445.64200833,,44.3200875,10720.1743192,,261.620158333,148.17064,3281.11908333
