,DateTime,Hydro,Coal,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable,Nuclear
0,2001-01-01,82.54825,308.866583333,40.13975,1256.21866667,,9.87716666667,85.4683816667,724.39525
1,2001-02-01,78.2364166667,308.6485,40.9186666667,1319.4115,,9.7705,84.2073641667,792.696166667
2,2001-03-01,77.2244166667,305.18,41.0605,1314.53133333,,9.71541666667,83.6437133333,792.764333333
3,2001-04-01,79.7303333333,308.8505,40.639,1353.87783333,,9.69625,82.7835541667,827.22625
4,2001-05-01,80.92175,306.831833333,37.6645833333,1350.47175,,9.68008333333,83.0665266667,827.3555
5,2001-06-01,82.4024166667,313.4025,38.4525,1294.22866667,,9.82933333333,81.5667966667,763.600083333
6,2001-07-01,86.442,318.004083333,36.1646666667,1294.83625,,10.7099166667,79.8186975,758.726166667
7,2001-08-01,85.1486666667,321.0665,36.4806666667,1295.44791667,,11.0971666667,78.0493116667,758.632333333
8,2001-09-01,84.2059166667,324.159416667,34.5148333333,1298.07133333,,12.90425,76.6556391667,760.659583333
9,2001-10-01,83.444,316.367416667,37.5785833333,1290.88583333,,13.14075,74.9421008333,760.44
10,2001-11-01,84.81075,308.46225,41.3143333333,1296.9435,,12.5374166667,72.8735766667,771.97
11,2001-12-01,90.5650833333,306.395333333,42.6640833333,1306.16533333,,15.0794166667,71.9182691667,774.573666667
12,2002-01-01,95.0780833333,310.198833333,54.14225,1329.42291667,,18.3641666667,72.0795733333,774.551416667
13,2002-02-01,96.4753333333,308.75725,73.25125,1369.06958333,,39.58375,71.5004333333,774.509916667
14,2002-03-01,96.4713333333,315.833833333,85.5969166667,1406.47291667,,58.75525,70.3910958333,774.431916667
15,2002-04-01,95.3401666667,312.525583333,94.1015,1438.23308333,,87.6624166667,69.2174858333,774.390833333
16,2002-05-01,92.11625,303.29175,109.576416667,1456.02075,,105.316,66.4113316667,774.316333333
17,2002-06-01,92.0640833333,302.06875,119.536,1548.12883333,,124.282916667,65.2656383333,839.94925
18,2002-07-01,87.14075,304.644916667,130.619833333,1574.07058333,,136.54325,65.3104066667,844.861333333
19,2002-08-01,87.8169166667,300.623416667,140.855333333,1616.95566667,,171.867166667,65.861675,844.97725
20,2002-09-01,92.6124166667,301.53275,150.612916667,1688.26666667,,226.999333333,66.3866833333,845.166
21,2002-10-01,96.3698333333,308.921666667,156.18625,1743.51141667,,265.6855,67.2593458333,844.153666667
22,2002-11-01,101.47025,320.50675,161.858166667,1745.15675,,305.0755,68.5510008333,782.72425
23,2002-12-01,106.208083333,323.097916667,166.8845,1768.06925,,325.80525,68.1097525,772.953583333
24,2003-01-01,110.939083333,326.941916667,170.377333333,1799.75891667,,347.12225,66.3246383333,773.024
25,2003-02-01,115.415124167,328.872099167,179.323775,1815.92551333,,347.351443333,66.8802041667,773.048416667
26,2003-03-01,116.144051667,327.5813275,181.010709167,1844.09803,,370.9631225,67.8923841667,775.408166667
27,2003-04-01,116.985165833,327.548945,178.2360725,1861.6404125,,389.697455,68.6071675,775.479083333
28,2003-05-01,124.518848333,331.317620833,177.306789167,1901.05585833,,417.59302,69.6551875,775.54975
29,2003-06-01,125.6275825,334.7651575,179.795955833,1905.79253,,413.622164167,71.2416083333,775.602
30,2003-07-01,123.564341667,337.30287,175.162241667,1930.31420667,,441.779163333,71.6007841667,775.663833333
31,2003-08-01,123.804634167,343.833968333,173.284528333,1936.09994917,,442.731858333,71.6154233333,775.591
32,2003-09-01,123.308104167,345.552156667,170.534969167,1916.22239583,,424.19824,71.7257075,775.65925
33,2003-10-01,127.871095,348.630064167,171.041496667,1928.9023375,,427.353583333,71.9383608333,776.7895
34,2003-11-01,123.128145833,339.9444,157.857743333,1946.66835333,,410.01051,72.1800825,838.276583333
35,2003-12-01,114.520399167,343.40761,160.427258333,1977.99358583,,433.378915833,72.87655,848.115083333
36,2004-01-01,109.646360833,339.672918333,163.370983333,1989.6488775,,449.980401667,73.6042591667,848.131083333
37,2004-02-01,111.3433925,336.470235833,158.178293333,2000.8019975,,467.636271667,73.7713633333,848.215583333
38,2004-03-01,113.592595833,330.7877575,162.076451667,2005.62852333,,474.484454167,73.5951083333,846.002416667
39,2004-04-01,113.846056667,337.08714,157.315261667,1995.88279917,,469.747689167,73.7715683333,839.074166667
40,2004-05-01,114.750635,352.252880833,141.771554167,1923.5353525,,465.943780833,74.2140441667,769.611166667
41,2004-06-01,116.8958825,347.397260833,127.902484167,1937.53453833,,503.937075,74.666775,761.754916667
42,2004-07-01,125.1661525,344.236798333,121.2572675,1955.38332417,,519.411471667,75.0725083333,765.274083333
43,2004-08-01,128.5470125,346.12695,120.442886667,1987.9806525,,543.102185833,75.7291416667,769.067583333
44,2004-09-01,126.769853333,341.719428333,127.443245,2017.85081,,567.694850833,76.4854983333,772.775166667
45,2004-10-01,121.938439167,341.203854167,121.231190833,2011.74345167,,568.900420833,76.9952916667,776.538833333
46,2004-11-01,134.13367,338.347351667,126.504886667,2042.26514083,,580.550846667,77.338865,780.477583333
47,2004-12-01,145.88242,336.578558333,120.376755,2044.49035,,574.795459167,77.7434908333,784.22225
48,2005-01-01,149.908593333,339.415583333,113.09537,2039.1677625,,565.394580833,78.4913933333,787.990416667
49,2005-02-01,151.290428333,343.414,99.7468025,2049.93800583,,581.6781375,77.1630941667,791.748666667
50,2005-03-01,153.737819167,346.275333333,84.3018908333,2039.5676,,579.330511667,75.8851483333,795.103916667
51,2005-04-01,153.733326667,348.219333333,84.0748208333,2066.0935775,,595.0597875,74.2038225,805.858083333
52,2005-05-01,144.801400833,340.759666667,86.1275891667,2107.8718275,,579.9743325,72.2635866667,878.978416667
53,2005-06-01,141.784806667,340.420333333,83.8851325,2071.58260833,,539.597575833,70.2574158333,890.665583333
54,2005-07-01,142.0773125,339.284583333,82.7244433333,2029.8220125,,501.740466667,68.2212866667,890.804166667
55,2005-08-01,143.1921125,337.074083333,72.8585275,1991.94262417,,476.560160833,66.2858458333,891.00425
56,2005-09-01,147.14702,337.544,57.5607183333,1967.26106333,,464.980370833,64.5716133333,890.492666667
57,2005-10-01,145.897,326.497,54.0025225,1950.85690583,,475.084966667,62.67152,881.750083333
58,2005-11-01,138.224633333,332.93575,49.0136933333,1891.11859667,,497.93377,62.1280341667,805.934083333
59,2005-12-01,131.11386,329.646833333,45.40283,1839.09973167,,484.535975,61.762905,781.6925
60,2006-01-01,127.409163333,323.786083333,36.5994058333,1838.6412125,,500.550475,62.198315,783.154666667
61,2006-02-01,124.339859167,322.323780833,32.1876183333,1817.00296833,,488.029428333,64.45321,780.699666667
62,2006-03-01,118.67003,322.203674167,42.8734891667,1797.96359417,,460.822526667,66.3824533333,782.088916667
63,2006-04-01,118.076420833,315.806581667,44.04294,1753.6949,,422.4017625,69.3894841667,779.014
64,2006-05-01,123.839169167,314.128784167,41.4721191667,1765.77918917,,431.499010833,72.61693,777.269583333
65,2006-06-01,127.707201667,313.919725833,39.0683433333,1788.582445,,448.1413025,75.9804633333,778.804916667
66,2006-07-01,120.244396667,313.180295,39.5243358333,1805.78689583,,468.9482925,78.7418333333,780.288833333
67,2006-08-01,115.770750833,313.683685,36.0475783333,1825.4143825,,491.077234167,82.2507025,781.731
68,2006-09-01,110.760801667,315.343723333,32.8184,1828.39149417,,495.089911667,85.6992375,783.824083333
69,2006-10-01,109.465585833,320.153526667,31.5719991667,1853.94161667,,505.196840833,88.6233841667,794.046666667
70,2006-11-01,106.790084167,320.142948333,30.5169366667,1912.0861075,,488.26702,90.3306775,871.13875
71,2006-12-01,107.61601,322.506405,29.2232583333,1948.88028167,,495.171705,92.52296,896.93875
72,2007-01-01,105.435739167,327.284605833,32.0662783333,1939.7642625,,479.501224167,93.6059766667,896.990333333
73,2007-02-01,104.377524167,325.742088333,28.0966825,1917.16661667,,488.503001667,94.4338125,871.118833333
74,2007-03-01,107.304941667,326.744656667,14.1253291667,1940.94178417,,521.229048333,95.1493725,871.444916667
75,2007-04-01,109.225959167,326.254306667,12.0914225,1978.78896167,,555.750631667,94.8253891667,875.7025
76,2007-05-01,114.032775,314.697274167,12.1799258333,1904.50203583,,559.360715833,95.005345,804.326583333
77,2007-06-01,108.297266667,317.225280833,12.1516516667,1891.23883083,,570.716039167,95.2759783333,782.677166667
78,2007-07-01,112.887948333,311.721313333,11.8831975,1887.3011225,,570.4256225,96.1302733333,779.264666667
79,2007-08-01,119.516421667,302.8362875,16.4479758333,1889.5855325,,570.2827275,96.2198666667,779.308833333
80,2007-09-01,132.325460833,302.422255,16.5231591667,1894.88699,,563.657193333,95.7154341667,779.288
81,2007-10-01,135.346645833,298.539033333,16.56779,1883.893385,,553.276245,96.051125,779.281416667
82,2007-11-01,135.1697875,293.7047075,16.5816158333,1887.70743917,,561.1631225,96.85494,779.397
83,2007-12-01,133.27189,289.107140833,16.5595533333,1898.64533167,,578.387845,97.2774916667,779.19
84,2008-01-01,136.102008333,287.5641325,11.3567808333,1906.41596333,0.859916666667,589.445904167,97.9153166667,779.192833333
85,2008-02-01,135.603940833,288.108865833,17.9795533333,1945.926195,1.1812575,592.311901667,98.11559,808.982083333
86,2008-03-01,134.121888333,283.800316667,19.30182,1937.17185,1.7713325,586.947874167,99.47232,808.696416667
87,2008-04-01,137.459630833,288.048644167,19.1611733333,1908.57567917,2.27970833333,551.075329167,99.0527175,808.944583333
88,2008-05-01,134.264815833,303.568521667,19.0054108333,1987.12836167,2.831185,544.210670833,97.5927,883.649416667
89,2008-06-01,139.224423333,310.249335833,19.0170766667,2016.390065,3.26661833333,540.286178333,97.6583091667,905.191083333
90,2008-07-01,137.742013333,310.921154167,17.1369841667,1999.93884,3.64062333333,522.34293,98.4932975,908.537833333
91,2008-08-01,141.432705,312.021438333,12.9016525,1978.41297917,3.91203666667,499.7907525,99.0432408333,908.4565
92,2008-09-01,135.686475,290.0226275,13.1730325,1939.80020917,4.2569725,487.385573333,100.266711667,908.495916667
93,2008-10-01,133.189675833,275.956700833,13.1052858333,1897.943,4.64908,461.434223333,101.269518333,908.1575
94,2008-11-01,135.011814167,260.4706,13.3058875,1790.42450417,5.09237833333,444.504813333,101.349190833,830.949833333
95,2008-12-01,136.9833,243.0672825,14.8618008333,1716.32855083,5.62636416667,430.562371667,101.310470833,784.721083333
96,2009-01-01,140.040989167,240.472369167,15.2567416667,1680.3434975,5.20641583333,445.196405,99.8280316667,734.72275
97,2009-02-01,139.6616425,237.704635,6.7890075,1649.95990917,5.37131,425.092421667,100.9382325,734.951833333
98,2009-03-01,140.657050833,240.43336,6.0571175,1628.6130525,5.28950583333,400.783766667,100.791744167,735.065083333
99,2009-04-01,142.059734167,236.974176667,5.9610775,1624.77502417,5.33524416667,398.298396667,101.528329167,735.15075
100,2009-05-01,140.889568333,231.170645,6.07875333333,1592.90079333,5.20623583333,372.7497425,101.99047,735.29125
101,2009-06-01,136.080595,226.417136667,6.15441333333,1567.52314667,5.2693875,356.252525,102.316756667,735.50325
102,2009-07-01,133.695961667,226.886168333,6.41185666667,1581.55714833,5.21998333333,371.728320833,102.389346667,735.66125
103,2009-08-01,121.962406667,230.6795725,7.55159416667,1590.08264417,5.34433416667,387.90381,101.4204475,735.775416667
104,2009-09-01,115.966139167,247.512195,7.29018833333,1616.26367083,5.26455166667,403.88314,101.081361667,735.737
105,2009-10-01,115.111653333,259.95241,7.54019666667,1651.56313667,5.25600083333,427.9193,100.380460833,735.886666667
106,2009-11-01,123.1040075,255.47289,7.3443575,1733.02230167,5.6896325,428.332458333,100.9308925,813.06575
107,2009-12-01,124.91456,254.215745,5.99747083333,1805.82999583,5.88845166667,455.783239167,101.060786667,859.092
108,2010-01-01,123.131916667,256.8868925,5.97342916667,1849.65933167,6.307335,447.069679167,102.68486,909.17125
109,2010-02-01,122.401645833,257.484609167,8.99337833333,1854.59935417,6.29716666667,450.50454,101.287334167,909.128916667
110,2010-03-01,121.088099167,258.651171667,9.16527666667,1883.42301,6.36225166667,481.453491667,101.037075833,907.178416667
111,2010-04-01,117.87752,252.958211667,9.168255,1905.046205,6.34973333333,511.422675,101.7746025,906.935666667
112,2010-05-01,121.152028333,249.6791375,8.9542625,1868.66024333,6.4108625,552.201404167,99.72993,832.090333333
113,2010-06-01,136.172624167,237.978503333,8.84045333333,1834.12521167,6.21455,577.080625833,96.290035,772.8775
114,2010-07-01,138.218098333,231.9189025,8.57507083333,1820.68872917,6.16285583333,572.270006667,94.776015,769.986333333
115,2010-08-01,138.624723333,226.370003333,7.39114416667,1821.21229917,6.06851416667,578.6071475,95.2274008333,769.99825
116,2010-09-01,139.259431667,213.5012525,6.7889375,1804.629395,6.10367916667,575.25858,94.7710708333,770.008416667
117,2010-10-01,146.158763333,196.823888333,6.77859333333,1784.80957167,6.03086,565.732836667,94.0808291667,770.1235
118,2010-11-01,142.8485275,196.621728333,6.81804166667,1722.63893167,5.79553333333,565.3606425,93.63339,712.1925
119,2010-12-01,135.5719875,201.90762,7.21901583333,1706.16439417,5.77771583333,551.4147625,92.123415,712.717416667
120,2011-01-01,133.73425,184.016946667,6.45879666667,1672.16175167,5.5076675,554.797454167,90.9352408333,696.900583333
121,2011-02-01,133.943275,179.878546667,3.7136725,1668.69467833,5.57274666667,576.9269625,92.09248,676.806666667
122,2011-03-01,134.465429167,167.301461667,2.9295975,1652.48157167,6.40119833333,578.964700833,93.191055,670.274666667
123,2011-04-01,137.693216667,151.739536667,2.94494833333,1623.68372667,7.5020525,573.643578333,93.7790458333,658.512416667
124,2011-05-01,125.604028333,136.980905,2.91915166667,1646.21212333,9.10328,560.106603333,98.352445,716.739916667
125,2011-06-01,114.775648333,130.381041667,2.88952416667,1688.93589333,9.75573916667,568.70795,102.679610833,763.994166667
126,2011-07-01,115.7364225,115.1555925,2.83819083333,1687.6470475,10.8405016667,588.224988333,104.948355833,755.27175
127,2011-08-01,116.369071667,110.418463333,2.96022166667,1675.35869917,11.8832566667,591.678183333,105.329994167,743.145583333
128,2011-09-01,114.5488225,106.141760833,2.74327416667,1667.17920917,12.746825,600.534804167,106.2157525,731.532583333
129,2011-10-01,108.611360833,103.313061667,2.42974166667,1623.3514975,13.9419158333,609.318905833,108.018361667,686.213916667
130,2011-11-01,103.800545,99.7855708333,2.33446083333,1615.52701,14.5059375,626.885493333,108.862531667,668.405833333
131,2011-12-01,104.361239167,96.2931891667,1.79128666667,1588.3148425,15.3450691667,601.008533333,111.8819375,667.505
132,2012-01-01,103.939168333,105.643094167,1.80415583333,1601.85991,17.3915841667,587.47531,115.107088333,682.43175
133,2012-02-01,103.829630833,106.9380625,2.46417916667,1599.37224417,20.0108233333,559.585486667,118.491169167,702.637166667
134,2012-03-01,106.583593333,118.675960833,4.10187583333,1595.73137,21.6369741667,529.094670833,120.726381667,711.163416667
135,2012-04-01,101.4189825,132.118915,4.0443,1603.48599667,22.9298341667,513.587876667,123.660783333,723.301666667
136,2012-05-01,108.647398333,132.333060833,4.11644583333,1596.02067333,24.25665,479.973161667,125.661519167,739.974083333
137,2012-06-01,106.387149167,133.472838333,4.21051583333,1569.06016917,25.8643025,439.776854167,127.974281667,751.944166667
138,2012-07-01,109.720754167,136.7356375,4.40064166667,1571.0165125,27.0157416667,421.669924167,129.659109167,763.526833333
139,2012-08-01,117.940793333,133.908916667,4.909465,1577.730615,27.4259916667,408.465585,131.637809167,775.58725
140,2012-09-01,119.628539167,127.799085,5.01380166667,1571.2282025,28.4440533333,392.531949167,133.624623333,787.381333333
141,2012-10-01,122.193564167,128.93841,5.04240666667,1607.16043,29.5361258333,377.470424167,135.485201667,832.8085
142,2012-11-01,119.463663333,128.831498333,5.05375916667,1656.43583167,31.0670183333,352.041169167,137.245055,908.616166667
143,2012-12-01,119.917790833,122.251839167,5.37164916667,1656.49531083,32.7703975,353.954600833,140.284173333,909.56675
144,2013-01-01,118.9332025,121.960938333,8.70934166667,1648.2100375,32.4320008333,341.681000833,141.283578333,910.560416667
145,2013-02-01,122.029390833,122.945450833,22.1795433333,1640.9219425,33.0324808333,315.242444167,143.0403825,910.492166667
146,2013-03-01,119.094679167,121.1269725,25.1920991667,1618.28969583,33.439445,293.612695833,143.889951667,910.482666667
147,2013-04-01,115.219773333,127.465985,28.57485,1621.95427917,34.2178683333,289.708706667,145.995285,910.185833333
148,2013-05-01,118.679995833,130.596178333,28.58405,1604.0820675,34.1980958333,327.434935,146.601149167,847.445166667
149,2013-06-01,125.804868333,129.544861667,28.5129391667,1631.74376167,34.3201116667,348.388905,147.407523333,847.409333333
150,2013-07-01,121.031280833,124.102150833,28.3077425,1622.2157575,33.8324816667,347.967225833,148.769725,847.4345
151,2013-08-01,115.948166667,115.13645,27.5017466667,1608.58937667,34.0120316667,346.355845833,151.563195,847.55775
152,2013-09-01,117.1227975,112.779694167,27.3516383333,1604.46635417,33.5859758333,342.872703333,152.473074167,847.41875
153,2013-10-01,113.1107775,112.563269167,27.3519758333,1603.9509275,33.3187908333,344.806300833,154.343059167,847.406666667
154,2013-11-01,113.063604167,112.814135833,27.3891875,1625.2115025,33.5527433333,361.8057575,158.425605,847.423083333
155,2013-12-01,112.367415833,122.955016667,27.1880658333,1632.26236667,33.8018591667,357.020791667,161.173166667,847.378416667
156,2014-01-01,115.1135,109.249895,23.9541525,1628.19958167,34.2984158333,365.690953333,162.69906,847.355416667
157,2014-02-01,111.4241525,109.655330833,10.2521691667,1648.33185667,34.7475016667,402.0409575,163.502460833,847.325916667
158,2014-03-01,110.795456667,113.214315,17.4650625,1681.62055417,34.8025666667,423.945754167,164.794500833,847.27975
159,2014-04-01,109.620191667,100.722945833,14.4595225,1683.5305,34.9614441667,442.2452025,164.929435,847.512666667
160,2014-05-01,107.320224167,96.95363,14.4714366667,1742.23783167,35.05718,442.567268333,166.573613333,910.227666667
161,2014-06-01,98.0374608333,96.8411375,14.4835466667,1746.81977417,35.3213541667,453.526870833,169.611363333,910.209666667
162,2014-07-01,106.4360425,97.1408216667,14.4645633333,1765.1714125,35.4970066667,462.713665,170.190480833,910.117833333
163,2014-08-01,106.782233333,93.3747366667,14.402025,1765.690385,35.4450641667,465.721233333,171.3673525,909.93425
164,2014-09-01,104.687209167,94.05945,14.5826966667,1780.418665,35.128305,480.837463333,172.272416667,909.92975
165,2014-10-01,104.714135833,95.1935483333,14.5860508333,1783.71408583,34.5790275,488.525608333,172.817405833,903.7585
166,2014-11-01,105.655745833,96.3751758333,14.5967166667,1705.22311333,34.9594175,487.179166667,170.787489167,826.506
167,2014-12-01,105.724874167,84.2815725,14.7320491667,1676.77833,35.0047566667,508.908739167,168.7163025,790.267416667
168,2015-01-01,105.851803333,78.0551791667,14.6303241667,1667.99111667,35.2913333333,504.307896667,170.652226667,790.350333333
169,2015-02-01,107.3040025,57.8968033333,13.4213483333,1628.05029833,35.0635875,487.4939575,171.910659167,785.887583333
170,2015-03-01,112.821716667,35.4014375,1.63221166667,1590.18228333,35.63719,474.714923333,172.874563333,788.571166667
