,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Petroleum Coke,Other Renewable,Nuclear
0,2001-01-01,1.50016666667,776.586583333,,108.052166667,4951.77166667,,1392.35008333,,70.3026741667,2539.1025
1,2001-02-01,1.45,737.794833333,,88.3760833333,4924.58891667,,1432.43958333,,70.51928,2532.39325
2,2001-03-01,1.4065,707.17375,,82.6406666667,4914.18466667,,1458.97608333,,71.1471991667,2532.97091667
3,2001-04-01,1.36091666667,736.269083333,,73.4860833333,4908.97725,,1463.21083333,,70.7671033333,2506.61666667
4,2001-05-01,1.328,737.6105,,72.9604166667,4922.32275,,1478.09966667,,70.3977183333,2506.87366667
5,2001-06-01,1.29175,704.347166667,,68.257,4919.765,,1485.32966667,,70.3097866667,2537.217
6,2001-07-01,1.24191666667,715.586,,58.4396666667,4919.09133333,,1497.37325,,70.4224858333,2525.0955
7,2001-08-01,1.20391666667,724.86325,,59.444,4987.94741667,,1556.876,,70.4281641667,2526.44566667
8,2001-09-01,1.15025,725.561666667,,57.912,5005.40166667,,1580.28675,,70.5609058333,2523.35241667
9,2001-10-01,1.11783333333,738.210416667,,56.436,5067.39616667,,1614.23883333,,70.6504875,2542.5585
10,2001-11-01,1.07075,747.75775,,56.0861666667,5042.511,,1578.57408333,,70.8109075,2546.62375
11,2001-12-01,1.03458333333,767.878583333,,56.2849166667,5068.52275,,1578.93141667,,70.5151658333,2554.91216667
12,2002-01-01,1.00241666667,800.421166667,,60.8860833333,5130.78216667,,1589.11308333,,70.59998,2572.13958333
13,2002-02-01,1.243,827.17975,,95.5648333333,5190.75583333,,1570.52866667,,71.4641875,2586.66783333
14,2002-03-01,1.44058333333,850.321166667,,120.4975,5210.55925,,1541.92991667,,71.6207408333,2585.43775
15,2002-04-01,1.64158333333,863.314333333,,142.430083333,5216.56666667,,1527.86058333,,72.12039,2568.23766667
16,2002-05-01,1.81416666667,862.93925,,139.943416667,5223.77233333,,1514.248,,73.0028516667,2589.60025
17,2002-06-01,1.974,856.8615,,139.752666667,5216.62508333,,1499.30141667,,73.3476158333,2599.86916667
18,2002-07-01,2.16258333333,839.172166667,,139.46525,5166.42425,,1448.85025,,73.6520058333,2616.45375
19,2002-08-01,2.38816666667,846.25325,,140.4495,5111.92366667,,1388.63875,,74.2433016667,2611.97491667
20,2002-09-01,2.61008333333,847.327416667,,132.325583333,5043.49366667,,1335.79508333,,74.6387116667,2601.93683333
21,2002-10-01,2.76183333333,843.4615,,132.645166667,4930.69183333,,1279.06858333,,74.8360458333,2547.78466667
22,2002-11-01,2.92791666667,837.601916667,,130.698333333,4925.14825,,1268.97316667,,74.5204091667,2559.53891667
23,2002-12-01,3.07058333333,831.946833333,,131.037666667,4849.58025,,1247.0575,,74.64776,2510.10125
24,2003-01-01,3.24075,815.796833333,,128.46275,4783.27925,,1231.29808333,,75.5643691667,2475.76675
25,2003-02-01,3.17818916667,795.583659167,,144.024901667,4720.078985,,1194.7587575,,74.1434358333,2458.26033333
26,2003-03-01,3.16621166667,793.968444167,,124.998809167,4704.3969375,,1193.4103325,,73.5353883333,2467.86241667
27,2003-04-01,3.14615083333,786.197275833,,106.769360833,4665.68517,,1166.11585,,72.95697,2485.70316667
28,2003-05-01,3.16600666667,799.937656667,,107.3773875,4599.72587833,,1164.56411333,,72.442545,2409.82191667
29,2003-06-01,3.19794583333,816.218995833,,117.629589167,4618.75848167,,1220.50618417,,72.0778891667,2351.21616667
30,2003-07-01,3.179385,835.9556825,,116.136445,4643.5250175,,1251.67477833,,71.4666116667,2329.66441667
31,2003-08-01,3.11007416667,846.1498975,,110.602961667,4640.81823667,,1261.42557417,,70.3909266667,2316.55925
32,2003-09-01,3.04218,837.89305,,110.270138333,4652.00219083,,1268.8159125,,69.5705908333,2332.30433333
33,2003-10-01,3.05811916667,846.393630833,,109.282518333,4699.40848917,,1289.64414833,,68.8717033333,2354.44525
34,2003-11-01,3.08439166667,847.700404167,,110.468335833,4717.31552667,,1278.44864083,,68.6563083333,2383.36725
35,2003-12-01,3.12241416667,846.5895625,,111.941629167,4716.123195,,1298.97212,,68.6075316667,2363.15525
36,2004-01-01,3.12527,860.206964167,,118.737733333,4656.861805,,1330.18290333,,67.1526275,2256.79716667
37,2004-02-01,3.13049833333,887.457309167,,89.1363475,4624.20882,,1340.75311333,,67.7569625,2214.895
38,2004-03-01,3.08594666667,887.318009167,,83.1030758333,4617.37749917,,1343.29703,,67.7350791667,2211.534
39,2004-04-01,3.06138666667,889.7361675,,78.6532233333,4644.06517583,,1347.12864417,,67.86404,2235.879
40,2004-05-01,3.09664666667,881.161555833,,77.9988025,4657.4721925,,1336.7586825,,67.9210141667,2268.4995
41,2004-06-01,3.055295,884.104536667,,67.1847308333,4646.07448667,,1250.4855325,,68.5589716667,2350.12516667
42,2004-07-01,2.99114583333,895.8947375,,68.6224016667,4662.17834583,,1251.9815475,,69.2715,2350.21325
43,2004-08-01,2.89736833333,894.6467175,,71.2056833333,4720.1740025,,1285.545815,,69.8738716667,2372.30608333
44,2004-09-01,2.76833916667,918.361168333,,71.2702666667,4806.27121667,,1354.47099,,70.4614441667,2364.77091667
45,2004-10-01,2.6214175,921.959356667,,74.2662816667,4837.07415417,,1349.34732,,71.1063466667,2393.20875
46,2004-11-01,2.591875,928.973635833,,75.7536408333,4841.41788417,,1345.13251,,71.8280983333,2391.28266667
47,2004-12-01,2.58499166667,945.482370833,,74.8218616667,4902.08829,,1310.98391,,72.329535,2469.59516667
48,2005-01-01,2.59271916667,968.784908333,,78.3718866667,5045.79858083,,1280.51373583,,72.9087683333,2615.97375
49,2005-02-01,2.63862583333,963.3794375,,57.5300725,5087.73566667,,1288.7750975,,73.3425791667,2674.84641667
50,2005-03-01,2.699445,969.10603,,57.7309091667,5087.46806333,,1286.91317167,,74.0789725,2669.00941667
51,2005-04-01,2.70376583333,969.976048333,,60.4457741667,5092.11717333,,1283.47548083,,75.0347858333,2671.73016667
52,2005-05-01,2.66451333333,982.4473675,,58.8418725,5130.05134833,,1273.3091725,,75.6350058333,2707.47258333
53,2005-06-01,2.72437666667,983.850555833,,57.9282333333,5173.43978917,,1314.74123917,,75.4113066667,2708.66441667
54,2005-07-01,2.80217416667,980.151943333,,51.8281266667,5189.54407917,,1313.50129,,75.4068266667,2735.53158333
55,2005-08-01,2.92293083333,980.65364,,45.1886675,5202.1867675,,1333.58743333,,75.5923108333,2733.50783333
56,2005-09-01,3.0768625,967.963700833,,42.1385866667,5159.3649775,,1301.71907083,,75.6973091667,2737.66725
57,2005-10-01,3.148565,945.606198333,,37.9924425,5128.63153,,1293.88261917,,75.7319308333,2741.06716667
58,2005-11-01,3.08095333333,929.3314375,,35.7139075,5098.49277333,,1308.05565583,,76.0627291667,2715.13266667
59,2005-12-01,3.01865833333,926.1640025,,34.5226966667,5101.5761025,,1317.26243583,,76.2403433333,2713.12525
60,2006-01-01,2.95302166667,905.16044,,22.4599325,5058.34488417,1.33258333333,1305.697825,,76.3986158333,2713.99041667
61,2006-02-01,2.82684416667,879.913503333,,22.804055,5032.36508167,1.52224916667,1309.47246417,,75.7449016667,2709.6125
62,2006-03-01,2.68914583333,877.589739167,,39.0108016667,5050.0761275,1.72155083333,1305.73074333,,75.0891283333,2718.11441667
63,2006-04-01,2.62879666667,864.906333333,,39.5048516667,5054.82833417,1.78602916667,1334.24317333,,74.2206025,2708.04266667
64,2006-05-01,2.53044416667,841.747635833,,39.4932675,5043.09141,1.81280583333,1359.09434417,,72.9141641667,2696.9425
65,2006-06-01,2.41074833333,840.8509175,,38.9540183333,5031.62558167,1.764565,1363.00220833,,72.2308408333,2684.22683333
66,2006-07-01,2.26890833333,839.716293333,,39.41197,5037.4630875,1.7662225,1377.0052475,,72.0258058333,2676.93025
67,2006-08-01,2.10676833333,831.839325833,,39.2081116667,5014.62415,1.75053916667,1371.31537333,,71.7200133333,2668.30666667
68,2006-09-01,1.94826916667,836.54655,,37.0521858333,5039.16120417,1.758785,1393.32365083,,71.2877008333,2668.85225
69,2006-10-01,1.88069,846.074455833,,37.7386425,5102.68281167,1.75758166667,1440.8622225,,71.3506758333,2674.12608333
70,2006-11-01,1.84019333333,861.414414167,,37.8834891667,5181.28134,1.7414575,1474.66887,,70.9834683333,2703.63308333
71,2006-12-01,1.78992416667,848.1497775,,37.9050508333,5181.982045,1.71857833333,1509.53168917,,70.0501033333,2683.67858333
72,2007-01-01,1.74242166667,850.889174167,,37.7309291667,5222.60374833,1.70099916667,1562.69431083,,70.2981291667,2667.53133333
73,2007-02-01,1.7465375,865.010680833,,41.9638791667,5291.714265,1.66716,1611.6316075,,70.8054291667,2668.34366667
74,2007-03-01,1.77280583333,858.737395833,,28.3914475,5333.63463167,1.58873583333,1668.45896583,,71.23031,2672.12916667
75,2007-04-01,1.80425083333,865.232269167,,27.486655,5329.62393083,1.498915,1697.122155,,71.687965,2632.79766667
76,2007-05-01,1.83457166667,862.125293333,,27.8130275,5361.78804417,1.43762166667,1743.51069083,,72.7989441667,2619.33933333
77,2007-06-01,1.8698025,851.24151,,29.9144158333,5366.25525083,1.49496583333,1752.56748333,,73.7054641667,2621.99675
78,2007-07-01,1.90639666667,840.233314167,,31.4677658333,5420.240795,1.59772416667,1802.725265,,73.7908325,2635.06825
79,2007-08-01,1.95824833333,836.254965,,29.0208783333,5448.07563917,1.6296075,1819.47437417,,73.8710625,2652.37633333
80,2007-09-01,1.99891333333,831.050023333,,25.2538141667,5401.1305625,1.6206475,1766.09035833,,74.4459083333,2667.02291667
81,2007-10-01,2.03311833333,833.426545,,24.6802208333,5428.66174667,1.61082416667,1781.034595,,74.5022066667,2677.39641667
82,2007-11-01,2.06578,801.704456667,,24.5421416667,5382.306885,1.61391416667,1764.75850917,,74.5961125,2678.55983333
83,2007-12-01,2.10344083333,775.644531667,,24.9041566667,5352.44953833,1.61693916667,1774.77052583,,75.2915891667,2663.03941667
84,2008-01-01,2.14775333333,752.374270833,0.222418333333,27.1093366667,5306.2324175,1.74041833333,1729.31289083,,75.4407975,2682.89983333
85,2008-02-01,2.1769725,742.914745833,0.221404166667,31.1930108333,5314.9979175,1.70492416667,1726.3555325,,75.14211,2700.27133333
86,2008-03-01,2.21436916667,702.505204167,0.2341975,31.294165,5243.87999,1.73627416667,1707.417245,,75.5409341667,2687.52616667
87,2008-04-01,2.25325333333,675.724585,0.271166666667,31.15153,5243.79104,1.73786083333,1671.63146417,,75.582895,2749.43283333
88,2008-05-01,2.29469,644.4224075,0.318936666667,30.6808016667,5210.6875675,1.82639333333,1639.29267583,,75.7865383333,2780.40766667
89,2008-06-01,2.33920166667,615.485980833,0.391773333333,30.9394966667,5226.74330333,1.8360425,1662.0599925,,75.8834066667,2802.305
90,2008-07-01,2.38923,573.981873333,0.452529166667,27.75185,5133.87228167,1.70847416667,1608.083775,,76.8798383333,2806.608
91,2008-08-01,2.43440416667,525.7053325,0.53223,27.5563508333,5045.48630583,1.70502583333,1570.00108667,,77.63863,2803.1665
92,2008-09-01,2.48768333333,501.03154,0.6390125,28.2613791667,5065.031605,1.7137275,1614.271745,,78.2211591667,2801.40916667
93,2008-10-01,2.52981416667,448.0107725,0.7451175,27.5116591667,5017.163105,1.73101166667,1614.88119833,,79.3504291667,2805.08533333
94,2008-11-01,2.5821725,436.137514167,0.82345,26.7465691667,5066.67728583,1.74847916667,1665.26873583,,79.6836458333,2816.48108333
95,2008-12-01,2.6285,418.408658333,0.870635,25.7721091667,5097.34675583,1.7796525,1676.83887333,,79.5968166667,2853.68833333
96,2009-01-01,2.67340166667,424.989035,0.892251666667,23.1825458333,5150.93658667,1.7431675,1718.74920333,,79.985925,2860.66283333
97,2009-02-01,2.5889625,427.64871,0.902776666667,14.8708816667,5151.32433083,1.728115,1743.40836583,,79.9574158333,2841.88883333
98,2009-03-01,2.50409166667,457.509330833,0.927695,14.0213475,5221.44425583,1.66838083333,1767.8631425,,78.8134325,2860.26875
99,2009-04-01,2.39855583333,440.303685,0.980046666667,11.3155416667,5227.2048625,1.63733416667,1789.60146917,,78.261595,2864.74541667
100,2009-05-01,2.29349083333,467.983090833,1.06592166667,10.3109908333,5264.53176833,1.52191416667,1813.80997417,,77.7667758333,2850.917
101,2009-06-01,2.17903166667,490.559891667,1.18526166667,8.0218375,5327.7330525,1.4355625,1836.44574,,77.5751391667,2871.17616667
102,2009-07-01,2.0796325,532.893066667,1.35277083333,8.62822833333,5423.19400833,1.43033083333,1900.0487025,,76.5542575,2861.53991667
