,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Petroleum Coke,Other Renewable,Nuclear
0,2001-01-01,42.5654166667,10351.103,,34.7249166667,11855.15075,,77.03475,0.0,35.9134166667,1288.64683333
1,2001-02-01,43.1385833333,10317.8694167,,34.4250833333,11825.5310833,,75.11575,0.0,33.4020833333,1297.022
2,2001-03-01,44.989,10293.55475,,34.606,11806.7279167,,77.16225,0.0,31.3466666667,1301.32825
3,2001-04-01,45.24275,10291.797,,35.0534166667,11815.91075,,77.031,0.0,29.1455833333,1314.30466667
4,2001-05-01,44.1968333333,10345.11275,,33.7824166667,11824.25275,,80.8273333333,0.0,27.2528333333,1269.53591667
5,2001-06-01,42.5058333333,10461.8674167,,33.65325,11944.7023333,,78.2565833333,0.0,25.4835833333,1280.10258333
6,2001-07-01,42.4258333333,10593.4348333,,33.442,12004.0664167,,88.2610833333,0.0,23.7656666667,1200.32641667
7,2001-08-01,42.4585,10717.6898333,,33.35425,12154.3458333,,113.550333333,0.0,22.4510833333,1194.73875
8,2001-09-01,41.6988333333,10729.4698333,,32.5774166667,12130.1869167,,129.550583333,0.0,20.4424166667,1140.63116667
9,2001-10-01,41.1595,10808.305,,33.0485833333,12146.7876667,,144.951333333,0.0,18.5476666667,1061.82841667
10,2001-11-01,41.6651666667,10895.9338333,,32.9255833333,12169.0803333,,147.884333333,0.0,16.8803333333,994.104333333
11,2001-12-01,42.5280833333,10986.9215833,,32.5254166667,12205.1168333,,146.789666667,0.0,14.7499166667,943.004583333
12,2002-01-01,40.6941666667,11079.4221667,,32.4264166667,12255.73725,,147.221166667,0.0,12.6089166667,905.4085
13,2002-02-01,39.9315833333,11177.5751667,,31.9020833333,12305.37,,152.123,0.0,14.7751666667,850.7795
14,2002-03-01,38.3803333333,11267.9141667,,34.4549166667,12374.3435,,151.7365,0.0,16.8175833333,826.214833333
15,2002-04-01,37.0525,11236.8008333,,34.0311666667,12336.9579167,,157.97325,0.0,18.6566666667,813.72275
16,2002-05-01,38.6924166667,11189.242,,34.55075,12228.34975,,161.27275,0.0,20.5738333333,745.568666667
