,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Natural Gas,Petroleum Coke,Other Renewable,Nuclear
0,2001-01-01,102.120333333,3058.25033333,,25.6755833333,7429.91583333,98.0095,,74.5128,4155.83316667
1,2001-02-01,102.509916667,2997.06825,,22.2969166667,7493.35858333,128.7185,,74.1133675,4252.43908333
2,2001-03-01,102.134333333,2970.585,,21.31225,7573.32941667,147.097666667,,77.6264125,4338.00308333
3,2001-04-01,100.238333333,2961.0205,,21.0879166667,7627.13291667,154.70425,,78.691265,4393.61566667
4,2001-05-01,98.2401666667,2996.13858333,,19.9640833333,7687.61075,180.034916667,,79.59379,4395.5435
5,2001-06-01,98.8771666667,3006.20966667,,20.3735,7719.16183333,225.0585,,82.7222975,4367.62683333
6,2001-07-01,98.1393333333,2990.78616667,,23.8463333333,7749.10625,263.642833333,,85.8918908333,4368.72166667
7,2001-08-01,97.65875,2999.46225,,24.9336666667,7817.93858333,315.92875,,90.2469608333,4374.05933333
8,2001-09-01,95.2229166667,2979.48733333,,22.4359166667,7832.11625,357.39725,,93.7328333333,4367.24341667
9,2001-10-01,94.62975,2991.48066667,,23.8810833333,7923.197,381.74825,,97.3022591667,4422.09141667
10,2001-11-01,95.1713333333,3019.25283333,,23.54275,7939.03066667,379.51675,,99.4196408333,4413.30433333
11,2001-12-01,100.555916667,3036.34275,,23.9383333333,7930.56791667,378.180583333,,102.154085,4381.3125
12,2002-01-01,115.812666667,3078.97683333,,25.0280833333,8046.95825,374.859916667,,103.701416667,4443.82116667
13,2002-02-01,122.574166667,3130.19275,,28.9388333333,8084.28208333,348.242083333,,104.368188333,4447.437
14,2002-03-01,132.465583333,3150.48683333,,32.9856666667,8094.34958333,332.27175,,104.491285833,4444.24766667
15,2002-04-01,161.259083333,3139.53391667,,32.4909166667,8047.55325,323.48075,,106.925381667,4392.10491667
16,2002-05-01,189.58175,3092.12966667,,32.5353333333,8083.54725,304.885,,108.316498333,4464.096
17,2002-06-01,218.914666667,3055.2005,,32.9504166667,8084.53383333,266.22125,,108.401123333,4509.6155
18,2002-07-01,245.07025,3042.85916667,,32.65475,8048.20341667,230.793083333,,107.832546667,4492.23666667
19,2002-08-01,271.528333333,3026.67033333,,31.8885,8022.52625,190.403833333,,107.2337125,4495.07283333
20,2002-09-01,294.036,3031.40325,,32.5425,8026.99941667,167.649583333,,107.305234167,4494.88391667
21,2002-10-01,301.576583333,3033.93941667,,31.9895,7968.91741667,143.75425,,106.8206975,4449.12625
22,2002-11-01,305.435,3048.67991667,,32.1964166667,7953.621,136.001916667,,106.815175,4420.704
23,2002-12-01,306.498916667,3088.29841667,,31.9163333333,7902.93591667,134.535833333,,106.490161667,4330.27958333
24,2003-01-01,305.452083333,3119.33516667,,34.0848333333,7814.38983333,138.565166667,3.98775,107.995555833,4201.47416667
25,2003-02-01,305.396955833,3138.64927667,,36.8951366667,7835.04628167,155.575738333,4.75858333333,110.919193333,4180.16116667
26,2003-03-01,307.393586667,3161.574425,,35.2743641667,7883.3347225,175.106090833,7.81466666667,113.7738425,4176.67658333
27,2003-04-01,283.827978333,3160.20299333,,36.33589,7911.31702083,178.876793333,10.8909166667,116.082360833,4215.802
28,2003-05-01,256.494171667,3199.17251667,,35.8690525,7852.25562083,178.7079475,12.7935,120.311064167,4138.752
29,2003-06-01,229.456050833,3239.11286333,,36.5307341667,7856.93036333,206.525696667,14.2438333333,124.449061667,4100.60466667
30,2003-07-01,206.898681667,3270.4930575,,34.432185,7889.1814025,222.746069167,19.8390833333,127.694645,4103.074
31,2003-08-01,185.115756667,3287.1565125,,34.0581483333,7910.66962333,240.138435,24.6769166667,130.708060833,4103.60558333
32,2003-09-01,167.133536667,3296.33338,,33.5776283333,7928.60589667,251.423165833,27.85925,133.273036667,4112.566
33,2003-10-01,176.9925625,3277.72921833,,33.6153233333,7952.85190833,275.388445833,31.2305,136.321669167,4111.00266667
34,2003-11-01,188.325741667,3260.4148125,,34.1168475,7956.70848417,286.6199925,35.0556666667,141.313826667,4099.615
35,2003-12-01,191.625165,3243.937865,,33.8321675,8059.85597083,294.393399167,37.3311666667,143.076694167,4203.26175
36,2004-01-01,203.909115833,3243.5183725,,31.7051075,8161.66075583,316.488165833,40.9025,146.9315575,4266.72
37,2004-02-01,209.102736667,3214.32904083,,25.7464516667,8152.97650917,327.130835833,43.704,147.967721667,4274.41716667
38,2004-03-01,207.128951667,3187.56432333,,23.4108258333,8117.573905,321.831509167,42.8404166667,148.6295875,4272.56633333
39,2004-04-01,215.3032225,3208.79457833,,21.7708575,8205.54015833,347.62069,43.3265,149.7475775,4304.74066667
40,2004-05-01,232.731180833,3197.98533167,,21.9358816667,8262.38352917,358.8601925,43.5823333333,150.089161667,4342.78783333
41,2004-06-01,240.54341,3208.45936333,,20.2104458333,8224.51681583,350.0016425,45.30825,148.868948333,4294.03
42,2004-07-01,256.210355,3199.92594833,,19.5232,8251.8585425,362.25321,42.0941666667,149.3783425,4304.35716667
43,2004-08-01,271.992301667,3199.49228833,,19.8551941667,8307.27921917,404.98479,41.2191666667,149.940295833,4303.55825
44,2004-09-01,282.891040833,3192.357655,,24.6522958333,8362.17362833,459.268484167,39.0220833333,150.783504167,4295.70483333
45,2004-10-01,272.973190833,3238.24870667,,26.4120141667,8422.40645917,474.496815833,35.6508333333,151.2698075,4312.58341667
46,2004-11-01,263.265944167,3277.24901833,,25.7726233333,8477.93523083,466.7635625,30.8139166667,148.1660475,4356.88508333
47,2004-12-01,259.198251667,3295.16471333,,25.8359666667,8488.413035,459.1156275,27.1769166667,150.051178333,4362.02375
48,2005-01-01,244.845584167,3307.67156833,,28.2619541667,8542.88873667,451.1819225,23.27425,151.13669,4428.1295
49,2005-02-01,245.36724,3295.34610833,,27.6434225,8516.5227325,424.193975833,19.8044166667,151.361116667,4442.6
50,2005-03-01,241.515176667,3318.79926583,,27.5354691667,8547.30434083,424.3779875,17.3349166667,151.855184167,4454.23608333
51,2005-04-01,230.9089625,3324.2627425,,26.8949183333,8497.30267833,413.940425833,13.9990833333,153.092774167,4423.35466667
52,2005-05-01,214.627973333,3337.077095,,26.6356175,8472.79254167,417.054471667,11.8561666667,154.138915,4402.3285
53,2005-06-01,208.191828333,3331.699245,,26.4310283333,8502.64189583,412.2730625,8.67991666667,154.209936667,4451.74116667
54,2005-07-01,194.25745,3331.70567667,,26.1256441667,8472.80368333,426.1783825,6.29875,154.925299167,4425.67225
55,2005-08-01,178.958225833,3336.83586667,,25.5366233333,8474.0663975,441.121654167,2.33591666667,155.985760833,4426.544
56,2005-09-01,169.600056667,3354.53500333,,21.8233775,8485.66466333,447.928274167,1.35066666667,157.034054167,4428.45325
57,2005-10-01,164.903746667,3317.26186167,,19.9824233333,8455.96069667,434.453964167,1.35066666667,157.750458333,4451.654
58,2005-11-01,159.681884167,3312.86992917,,20.1148233333,8460.79761083,466.877978333,1.35066666667,157.862948333,4431.21275
59,2005-12-01,157.8933925,3327.04610083,,20.0903666667,8422.65889333,505.868551667,1.35066666667,160.803124167,4337.88566667
60,2006-01-01,150.579,3289.4038275,,18.3924575,8272.30047917,505.6717325,1.35066666667,159.2030525,4233.11433333
61,2006-02-01,152.112740833,3260.17569167,,18.8317133333,8274.69041083,537.706654167,1.24816666667,159.875788333,4229.45275
62,2006-03-01,151.9553,3249.2926425,,19.8072158333,8269.448345,573.588854167,0.242,159.6841825,4201.44608333
63,2006-04-01,159.986208333,3253.26618417,,19.6725866667,8293.37619417,560.26886,0.0155,159.871200833,4228.09375
64,2006-05-01,158.242326667,3289.9908725,,19.4564141667,8358.69143917,553.629405,3.84877315203e-15,158.5797825,4261.16275
65,2006-06-01,157.561940833,3293.69884083,,19.2427658333,8382.479195,554.469885833,3.84877315203e-15,159.070671667,4283.44858333
66,2006-07-01,155.286203333,3322.1361675,,19.0077341667,8449.86911667,545.872414167,3.84877315203e-15,160.403054167,4329.37725
67,2006-08-01,150.913770833,3336.6384025,,19.2538483333,8424.14376167,507.351465,3.84877315203e-15,160.893635833,4329.54633333
68,2006-09-01,145.679050833,3355.9241875,,20.2652408333,8466.54549167,527.590869167,3.84877315203e-15,161.675318333,4336.23791667
69,2006-10-01,143.162490833,3388.06046667,,20.2915875,8490.10050083,549.882106667,3.84877315203e-15,163.2751775,4307.90933333
70,2006-11-01,140.6882075,3393.97983417,,20.3399975,8487.385425,544.985355,3.84877315203e-15,165.83531,4307.24666667
71,2006-12-01,135.372800833,3415.07628833,,20.0493783333,8516.8185725,507.3034125,3.84877315203e-15,165.6442975,4362.67175
72,2007-01-01,129.659299167,3465.22246,,18.1072725,8616.84513917,497.04654,3.84877315203e-15,166.336186667,4433.32616667
73,2007-02-01,114.149100833,3561.41071833,,17.149925,8691.634245,503.950930833,3.84877315203e-15,165.095511667,4422.78966667
74,2007-03-01,108.9509575,3601.1541225,,15.6611725,8719.42843833,460.959880833,3.84877315203e-15,165.3870425,4461.2565
75,2007-04-01,95.2463633333,3603.470055,,15.301125,8712.63870167,479.087046667,3.84877315203e-15,163.21627,4449.67808333
76,2007-05-01,95.193765,3574.82584,,15.1982291667,8676.06184583,486.5728325,3.84877315203e-15,162.177289167,4441.24458333
77,2007-06-01,92.5101925,3600.45524917,,15.0414933333,8593.93531417,486.085251667,3.84877315203e-15,161.151986667,4336.803
78,2007-07-01,90.0077716667,3625.296295,,16.3133591667,8563.5919925,518.199189167,3.84877315203e-15,159.011790833,4256.54341667
79,2007-08-01,88.4150033333,3650.99416333,,15.1278033333,8567.19201917,502.695316667,3.84877315203e-15,157.92346,4256.43183333
80,2007-09-01,87.0097808333,3653.7403925,,12.0251533333,8487.96039,424.645625833,3.84877315203e-15,157.570690833,4256.98258333
81,2007-10-01,87.0261558333,3627.18690667,,11.146205,8467.6451725,412.140955,1.55272,155.000831667,4279.04233333
