,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Natural Gas,Other Renewable,Nuclear
0,2001-01-01,84.5185833333,3147.49258333,1.51267887105e-15,455.134333333,6175.39566667,349.672583333,145.5893325,2146.59416667
1,2001-02-01,83.8339166667,3123.6985,1.51267887105e-15,430.63175,6132.25,352.495833333,144.114773333,2151.28441667
2,2001-03-01,82.22725,3108.73316667,1.51267887105e-15,425.298416667,6126.72733333,355.336583333,144.654319167,2164.25175
3,2001-04-01,79.4261666667,3074.59616667,1.51267887105e-15,379.904833333,6083.08841667,363.281333333,146.327615,2194.10666667
4,2001-05-01,73.3984166667,3066.20075,1.51267887105e-15,347.420416667,6040.30475,381.173333333,150.746675,2176.55033333
5,2001-06-01,71.2269166667,3063.06466667,1.51267887105e-15,337.383916667,6061.3215,391.808666667,151.0632325,2199.8195
6,2001-07-01,68.24825,3069.39858333,1.51267887105e-15,337.349916667,6065.43258333,398.480583333,152.932568333,2199.91475
7,2001-08-01,65.7070833333,3093.19941667,1.51267887105e-15,353.56,6123.57791667,420.233,156.36879,2204.6225
8,2001-09-01,63.6895833333,3096.94591667,1.51267887105e-15,339.147083333,6133.13866667,424.032166667,158.989783333,2219.50325
9,2001-10-01,62.9785833333,3126.5015,1.51267887105e-15,335.289083333,6158.90208333,405.981083333,162.083105,2224.61908333
10,2001-11-01,62.5824166667,3132.795,1.51267887105e-15,332.230666667,6155.53525,380.563333333,164.817195,2227.96525
11,2001-12-01,65.8395,3121.066,1.51267887105e-15,314.751416667,6191.81383333,362.971333333,168.8889625,2288.64458333
12,2002-01-01,72.3514166667,3173.53175,1.51267887105e-15,316.05025,6250.471,365.577416667,172.6059475,2278.84691667
13,2002-02-01,77.32475,3228.26825,0.0168633333333,380.92275,6303.221,377.679916667,179.1645825,2185.32841667
14,2002-03-01,85.3501666667,3251.34625,0.03626,403.120583333,6333.62008333,377.252416667,182.27132,2158.69516667
15,2002-04-01,89.6304166667,3245.41225,0.0571483333333,413.41825,6317.60991667,391.4245,185.969883333,2113.25375
16,2002-05-01,95.93375,3188.33625,0.077805,415.763,6259.9565,396.6405,187.234309167,2093.50325
17,2002-06-01,106.066333333,3170.48683333,0.0993075,416.685583333,6204.75716667,396.525,189.746863333,2043.33458333
18,2002-07-01,113.316166667,3159.78933333,0.125763333333,432.666,6169.64883333,383.487416667,191.103031667,1996.352
19,2002-08-01,118.638833333,3145.14033333,0.151035833333,433.312416667,6162.82391667,371.570416667,192.321601667,1996.71016667
